x,y
1815,555
1815,556
1818,556
1818,557
1821,557
1821,558
1823,558
1823,559
1824,559
1824,560
1826,560
1826,561
1828,561
1828,562
1830,562
1830,563
1833,563
1833,564
1837,564
1837,563
1838,563
1838,564
1841,564
1841,565
1846,565
1846,566
1849,566
1849,565
1853,565
1853,564
1857,564
1857,563
1865,563
1865,564
1882,564
1882,565
1884,565
1884,566
1887,566
1887,567
1899,567
1899,566
1901,566
1901,565
1904,565
1904,564
1905,564
1905,563
1907,563
1907,562
1909,562
1909,561
1911,561
1911,560
1918,560
1918,559
1928,559
1928,558
1932,558
1932,557
1934,557
1934,556
1936,556
1936,555
1938,555
1938,554
1940,554
1940,553
1941,553
1941,552
1942,552
1942,551
1943,551
1943,550
1945,550
1945,549
1946,549
1946,548
1947,548
1947,547
1948,547
1948,546
1949,546
1949,545
1950,545
1950,544
1951,544
1951,543
1954,543
1954,544
1956,544
1956,545
1957,545
1957,546
1958,546
1958,547
1959,547
1959,548
1960,548
1960,549
1962,549
1962,550
1963,550
1963,551
1965,551
1965,552
1967,552
1967,553
1968,553
1968,554
1970,554
1970,555
1972,555
1972,556
1974,556
1974,557
1975,557
1975,558
1977,558
1977,559
1979,559
1979,560
1981,560
1981,561
1984,561
1984,562
1988,562
1988,563
1998,563
1998,562
2002,562
2002,561
2004,561
2004,560
2006,560
2006,559
2008,559
2008,558
2010,558
2010,557
2012,557
2012,556
2026,556
2026,555
2029,555
2029,554
2031,554
2031,553
2033,553
2033,552
2034,552
2034,551
2036,551
2036,550
2037,550
2037,549
2038,549
2038,547
2039,547
2039,546
2040,546
2040,544
2041,544
2041,542
2042,542
2042,540
2043,540
2043,537
2044,537
2044,532
2045,532
2045,529
2046,529
2046,530
2048,530
2048,531
2049,531
2049,532
2050,532
2050,533
2052,533
2052,534
2054,534
2054,535
2057,535
2057,536
2059,536
2059,537
2060,537
2060,538
2061,538
2061,540
2062,540
2062,542
2063,542
2063,543
2064,543
2064,545
2065,545
2065,546
2066,546
2066,547
2067,547
2067,548
2068,548
2068,549
2069,549
2069,550
2071,550
2071,551
2073,551
2073,552
2075,552
2075,553
2078,553
2078,554
2081,554
2081,555
2091,555
2091,554
2095,554
2095,553
2098,553
2098,552
2100,552
2100,551
2105,551
2105,550
2118,550
2118,551
2120,551
2120,552
2121,552
2121,553
2122,553
2122,554
2123,554
2123,555
2124,555
2124,556
2125,556
2125,558
2126,558
2126,559
2127,559
2127,562
2128,562
2128,564
2129,564
2129,565
2130,565
2130,567
2131,567
2131,568
2132,568
2132,569
2133,569
2133,571
2134,571
2134,572
2135,572
2135,573
2136,573
2136,574
2137,574
2137,575
2138,575
2138,576
2140,576
2140,577
2141,577
2141,578
2143,578
2143,579
2145,579
2145,580
2147,580
2147,581
2151,581
2151,582
2163,582
2163,581
2166,581
2166,580
2169,580
2169,579
2171,579
2171,578
2173,578
2173,577
2174,577
2174,576
2176,576
2176,575
2177,575
2177,574
2178,574
2178,573
2179,573
2179,571
2180,571
2180,570
2181,570
2181,568
2182,568
2182,567
2183,567
2183,565
2184,565
2184,563
2185,563
2185,562
2186,562
2186,561
2189,561
2189,560
2191,560
2191,559
2193,559
2193,558
2195,558
2195,557
2197,557
2197,556
2198,556
2198,555
2200,555
2200,554
2207,554
2207,553
2215,553
2215,552
2220,552
2220,551
2223,551
2223,550
2225,550
2225,549
2227,549
2227,548
2230,548
2230,547
2233,547
2233,546
2235,546
2235,545
2237,545
2237,544
2239,544
2239,543
2241,543
2241,542
2244,542
2244,541
2248,541
2248,540
2257,540
2257,541
2259,541
2259,542
2261,542
2261,543
2262,543
2262,544
2265,544
2265,545
2267,545
2267,546
2269,546
2269,547
2273,547
2273,548
2282,548
2282,547
2285,547
2285,546
2289,546
2289,545
2321,545
2321,544
2324,544
2324,545
2330,545
2330,546
2332,546
2332,547
2334,547
2334,548
2336,548
2336,549
2338,549
2338,550
2341,550
2341,551
2348,551
2348,552
2349,552
2349,551
2356,551
2356,550
2359,550
2359,549
2362,549
2362,548
2364,548
2364,547
2366,547
2366,546
2367,546
2367,545
2369,545
2369,544
2370,544
2370,543
2371,543
2371,542
2372,542
2372,541
2373,541
2373,540
2374,540
2374,539
2375,539
2375,538
2376,538
2376,537
2377,537
2377,536
2378,536
2378,535
2379,535
2379,534
2382,534
2382,535
2383,535
2383,536
2385,536
2385,537
2387,537
2387,538
2398,538
2398,539
2399,539
2399,540
2401,540
2401,541
2402,541
2402,542
2404,542
2404,543
2405,543
2405,544
2407,544
2407,545
2409,545
2409,546
2410,546
2410,547
2412,547
2412,548
2415,548
2415,549
2417,549
2417,550
2419,550
2419,551
2420,551
2420,552
2421,552
2421,553
2422,553
2422,554
2423,554
2423,555
2424,555
2424,556
2425,556
2425,557
2427,557
2427,558
2428,558
2428,559
2431,559
2431,560
2434,560
2434,561
2439,561
2439,560
2446,560
2446,559
2449,559
2449,558
2450,558
2450,557
2452,557
2452,1433
2450,1433
2450,1432
2436,1432
2436,1433
2433,1433
2433,1434
2431,1434
2431,1435
2430,1435
2430,1436
2429,1436
2429,1437
2428,1437
2428,1438
2427,1438
2427,1440
2426,1440
2426,1441
2425,1441
2425,1443
2424,1443
2424,1447
2423,1447
2423,1461
2422,1461
2422,1462
2418,1462
2418,1461
2412,1461
2412,1460
2409,1460
2409,1461
2400,1461
2400,1460
2395,1460
2395,1461
2391,1461
2391,1462
2384,1462
2384,1461
2383,1461
2383,1460
2382,1460
2382,1458
2381,1458
2381,1457
2380,1457
2380,1456
2379,1456
2379,1455
2377,1455
2377,1454
2376,1454
2376,1453
2375,1453
2375,1452
2373,1452
2373,1451
2371,1451
2371,1450
2369,1450
2369,1449
2365,1449
2365,1448
2353,1448
2353,1449
2350,1449
2350,1450
2348,1450
2348,1451
2337,1451
2337,1450
2330,1450
2330,1451
2323,1451
2323,1452
2320,1452
2320,1453
2317,1453
2317,1454
2316,1454
2316,1455
2315,1455
2315,1456
2313,1456
2313,1457
2312,1457
2312,1458
2311,1458
2311,1459
2310,1459
2310,1460
2308,1460
2308,1461
2305,1461
2305,1462
2302,1462
2302,1463
2297,1463
2297,1462
2293,1462
2293,1461
2287,1461
2287,1462
2272,1462
2272,1461
2270,1461
2270,1460
2269,1460
2269,1459
2268,1459
2268,1458
2267,1458
2267,1457
2265,1457
2265,1456
2263,1456
2263,1455
2261,1455
2261,1454
2257,1454
2257,1453
2238,1453
2238,1452
2236,1452
2236,1451
2234,1451
2234,1450
2229,1450
2229,1449
2225,1449
2225,1450
2223,1450
2223,1449
2221,1449
