x,y
1852,631
1852,630
1853,630
1853,629
1854,629
1854,627
1855,627
1855,626
1856,626
1856,625
1857,625
1857,624
1858,624
1858,623
1859,623
1859,622
1861,622
1861,621
1862,621
1862,620
1864,620
1864,619
1865,619
1865,618
1867,618
1867,617
1868,617
1868,616
1870,616
1870,615
1871,615
1871,614
1872,614
1872,613
1873,613
1873,612
1874,612
1874,611
1875,611
1875,610
1876,610
1876,609
1878,609
1878,608
1879,608
1879,609
1880,609
1880,610
1881,610
1881,611
1882,611
1882,612
1883,612
1883,613
1884,613
1884,614
1886,614
1886,615
1887,615
1887,616
1889,616
1889,617
1891,617
1891,618
1893,618
1893,619
1895,619
1895,620
1899,620
1899,621
1912,621
1912,620
1916,620
1916,619
1920,619
1920,618
1922,618
1922,619
1927,619
1927,620
1930,620
1930,621
1942,621
1942,620
1947,620
1947,621
1950,621
1950,622
1952,622
1952,623
1956,623
1956,624
1970,624
1970,623
1977,623
1977,622
1980,622
1980,621
1983,621
1983,620
1985,620
1985,619
1986,619
1986,618
1988,618
1988,617
1989,617
1989,616
1990,616
1990,615
1991,615
1991,613
1992,613
1992,612
1993,612
1993,611
1994,611
1994,609
1995,609
1995,608
1996,608
1996,606
1997,606
1997,604
1998,604
1998,601
1999,601
1999,599
2001,599
2001,598
2012,598
2012,597
2017,597
2017,596
2019,596
2019,595
2022,595
2022,594
2024,594
2024,593
2025,593
2025,592
2027,592
2027,591
2028,591
2028,590
2030,590
2030,589
2031,589
2031,587
2032,587
2032,586
2033,586
2033,585
2050,585
2050,586
2052,586
2052,587
2053,587
2053,588
2054,588
2054,589
2055,589
2055,590
2057,590
2057,591
2058,591
2058,592
2059,592
2059,593
2061,593
2061,594
2063,594
2063,595
2065,595
2065,596
2067,596
2067,597
2069,597
2069,598
2070,598
2070,599
2071,599
2071,600
2072,600
2072,601
2073,601
2073,603
2074,603
2074,605
2075,605
2075,606
2076,606
2076,608
2077,608
2077,609
2078,609
2078,610
2080,610
2080,611
2081,611
2081,612
2083,612
2083,613
2085,613
2085,614
2087,614
2087,615
2091,615
2091,616
2105,616
2105,615
2108,615
2108,614
2111,614
2111,613
2113,613
2113,612
2115,612
2115,611
2117,611
2117,610
2118,610
2118,609
2120,609
2120,608
2121,608
2121,607
2123,607
2123,606
2124,606
2124,605
2125,605
2125,604
2127,604
2127,603
2128,603
2128,601
2129,601
2129,600
2130,600
2130,599
2132,599
2132,604
2133,604
2133,608
2134,608
2134,611
2135,611
2135,613
2136,613
2136,614
2137,614
2137,616
2138,616
2138,617
2139,617
2139,618
2140,618
2140,619
2141,619
2141,620
2142,620
2142,621
2143,621
2143,622
2144,622
2144,623
2146,623
2146,624
2148,624
2148,625
2151,625
2151,626
2155,626
2155,627
2164,627
2164,626
2168,626
2168,625
2171,625
2171,624
2173,624
2173,623
2175,623
2175,622
2177,622
2177,621
2179,621
2179,620
2180,620
2180,619
2182,619
2182,618
2183,618
2183,617
2185,617
2185,616
2186,616
2186,615
2187,615
2187,614
2188,614
2188,613
2189,613
2189,612
2190,612
2190,611
2191,611
2191,609
2192,609
2192,608
2193,608
2193,606
2194,606
2194,604
2195,604
2195,603
2196,603
2196,602
2198,602
2198,601
2204,601
2204,602
2208,602
2208,603
2212,603
2212,604
2217,604
2217,605
2234,605
2234,604
2239,604
2239,603
2243,603
2243,602
2245,602
2245,601
2247,601
2247,600
2249,600
2249,599
2250,599
2250,600
2252,600
2252,601
2254,601
2254,602
2256,602
2256,603
2258,603
2258,604
2262,604
2262,605
2272,605
2272,604
2276,604
2276,603
2285,603
2285,604
2289,604
2289,605
2298,605
2298,604
2302,604
2302,603
2304,603
2304,602
2306,602
2306,601
2308,601
2308,600
2309,600
2309,599
2311,599
2311,598
2312,598
2312,597
2313,597
2313,596
2315,596
2315,595
2326,595
2326,594
2329,594
2329,593
2331,593
2331,592
2333,592
2333,591
2335,591
2335,590
2337,590
2337,589
2338,589
2338,588
2339,588
2339,587
2340,587
2340,586
2341,586
2341,585
2342,585
2342,583
2343,583
2343,582
2344,582
2344,581
2350,581
2350,582
2362,582
2362,581
2367,581
2367,580
2388,580
2388,581
2390,581
2390,582
2391,582
2391,583
2392,583
2392,585
2393,585
2393,588
2394,588
2394,591
2395,591
2395,593
2396,593
2396,595
2397,595
2397,596
2398,596
2398,597
2399,597
2399,599
2400,599
2400,600
2402,600
2402,601
2403,601
2403,602
2405,602
2405,603
2406,603
2406,604
2409,604
2409,605
2412,605
2412,606
2417,606
2417,607
2424,607
2424,606
2428,606
2428,605
2431,605
2431,604
2434,604
2434,603
2436,603
2436,602
2437,602
2437,601
2439,601
2439,600
2440,600
2440,599
2441,599
2441,598
2442,598
2442,597
2443,597
2443,596
2444,596
2444,595
2446,595
2446,594
2452,594
2452,1115
2450,1115
2450,1116
2448,1116
2448,1117
2447,1117
2447,1118
2446,1118
2446,1119
2445,1119
2445,1121
2444,1121
2444,1123
2443,1123
2443,1125
2442,1125
2442,1130
2441,1130
2441,1134
2442,1134
2442,1139
2443,1139
2443,1141
2444,1141
2444,1143
2445,1143
2445,1145
2446,1145
2446,1146
2447,1146
2447,1147
2448,1147
2448,1148
2450,1148
2450,1149
2452,1149
2452,1496
2450,1496
2450,1495
2448,1495
2448,1494
2445,1494
2445,1493
2442,1493
2442,1492
2436,1492
2436,1491
2431,1491
2431,1492
2418,1492
2418,1491
2408,1491
2408,1492
2407,1492
2407,1491
2404,1491
2404,1490
2403,1490
2403,1489
2402,1489
2402,1488
2400,1488
2400,1487
2399,1487
2399,1486
2398,1486
2398,1485
2397,1485
2397,1484
2395,1484
2395,1483
2393,1483
2393,1482
2391,1482
2391,1481
2389,1481
2389,1480
2386,1480
2386,1479
2383,1479
2383,1478
2379,1478
2379,1477
2374,1477
2374,1476
2353,1476
2353,1477
2347,1477
2347,1478
2344,1478
2344,1477
2343,1477
2343,1476
2342,1476
2342,1475
2341,1475
2341,1472
2340,1472
2340,1471
2339,1471
2339,1469
2338,1469
2338,1468
2337,1468
2337,1466
2336,1466
2336,1464
2335,1464
2335,1461
2334,1461
2334,1460
2333,1460
2333,1459
2331,1459
2331,1458
2330,1458
2330,1457
2328,1457
2328,1456
2327,1456
2327,1455
2324,1455
2324,1454
2322,1454
2322,1453
2319,1453
2319,1452
2316,1452
2316,1451
2313,1451
2313,1450
2307,1450
2307,1449
2300,1449
2300,1448
2288,1448
2288,1449
2284,1449
2284,1450
2281,1450
2281,1451
2275,1451
2275,1450
2263,1450
2263,1451
2260,1451
2260,1452
2257,1452
2257,1453
2254,1453
2254,1454
2252,1454
2252,1455
2249,1455
2249,1456
2247,1456
2247,1457
2245,1457
2245,1458
2243,1458
2243,1459
2241,1459
2241,1460
2240,1460
2240,1461
2238,1461
2238,1462
2237,1462
2237,1464
2236,1464
2236,1465
2235,1465
2235,1466
2234,1466
2234,1468
2233,1468
2233,1470
2232,1470
2232,1473
2231,1473
2231,1475
2230,1475
2230,1476
2224,1476
2224,1477
2220,1477
2220,1478
2217,1478
2217,1479
2214,1479
2214,1480
2212,1480
2212,1481
2206,1481
2206,1480
2205,1480
2205,1479
2204,1479
2204,1478
2203,1478
2203,1476
2202,1476
2202,1475
2201,1475
2201,1473
2200,1473
2200,1472
2199,1472
2199,1471
2198,1471
2198,1470
2197,1470
2197,1469
2196,1469
2196,1468
2195,1468
2195,1467
2194,1467
2194,1466
2192,1466
2192,1465
2190,1465
2190,1464
2188,1464
2188,1463
2186,1463
2186,1462
2181,1462
2181,1461
2171,1461
2171,1462
2167,1462
2167,1463
2163,1463
2163,1464
2161,1464
2161,1465
2158,1465
2158,1466
2157,1466
2157,1467
2155,1467
2155,1468
2153,1468
2153,1469
2152,1469
2152,1470
2151,1470
2151,1471
2150,1471
2150,1472
2149,1472
2149,1473
2148,1473
2148,1474
2141,1474
2141,1473
2136,1473
2136,1474
2130,1474
2130,1475
2127,1475
2127,1476
2124,1476
2124,1477
2123,1477
2123,1478
2121,1478
2121,1479
2119,1479
2119,1480
2118,1480
2118,1481
2116,1481
2116,1482
2114,1482
2114,1483
2112,1483
2112,1484
2110,1484
2110,1485
2108,1485
2108,1486
2104,1486
2104,1487
2100,1487
2100,1488
2097,1488
2097,1489
2094,1489
2094,1490
2092,1490
2092,1491
2090,1491
2090,1492
2088,1492
2088,1493
2086,1493
2086,1494
2084,1494
2084,1495
2079,1495
2079,1494
2077,1494
2077,1493
2075,1493
2075,1492
2073,1492
2073,1491
2071,1491
2071,1490
2068,1490
2068,1489
2063,1489
2063,1488
2050,1488
2050,1487
2045,1487
2045,1486
2033,1486
2033,1487
2029,1487
2029,1488
2026,1488
2026,1489
2024,1489
2024,1490
2023,1490
2023,1491
2021,1491
2021,1492
2020,1492
2020,1493
2019,1493
2019,1494
2018,1494
2018,1495
2017,1495
2017,1496
2016,1496
2016,1497
2015,1497
2015,1498
2014,1498
2014,1500
2013,1500
2013,1501
2012,1501
2012,1503
