whst_input_file,analysis_unit,timepoint_h,motivo_operador,justificativa,arquivos_movidos
eb2094e9e9__BASELINE__SKOV-3__P1_GEO+PTX_F1__tp0h__75ug+ptx1_1.tiff,P1|GEO+PTX|F1,0,"imagem em cruz que serviu como teste do algoritmo, mas não é usada no dia dia",imagem-teste do algoritmo; nao e dado experimental. Verificado ausente de mapping_dataset_final_strat.csv.,6
56448aa7e3__BASELINE__SKOV-3__P1_GEO+PTX_F6__tp0h__75ug+ptx2_1.tiff,P1|GEO+PTX|F6,0,"imagem em cruz que serviu como teste do algoritmo, mas não é usada no dia dia",imagem-teste do algoritmo; nao e dado experimental. Verificado ausente de mapping_dataset_final_strat.csv.,6
6a31bf39c3__BASELINE__SKOV-3__P1_GEO_F11__tp0h__75geo3_1.tiff,P1|GEO|F11,0,"imagem em cruz que serviu como teste do algoritmo, mas não é usada no dia dia",imagem-teste do algoritmo; nao e dado experimental. Verificado ausente de mapping_dataset_final_strat.csv.,6
c7f1856fab__BASELINE__SKOV-3__P1_GEO_F6__tp0h__75geo2_1.tiff,P1|GEO|F6,0,"imagem em cruz que serviu como teste do algoritmo, mas não é usada no dia dia",imagem-teste do algoritmo; nao e dado experimental. Verificado ausente de mapping_dataset_final_strat.csv.,6
bdb26c487f__BASELINE_ALT__SKOV-3__P2_CARBO_F5__tp0h__Snap-21.tiff,P2|CARBO|F5,0,"imagem em cruz que serviu como teste do algoritmo, mas não é usada no dia dia",imagem-teste do algoritmo; nao e dado experimental. Verificado ausente de mapping_dataset_final_strat.csv.,6
