x,y
1814,726
1814,725
1815,725
1815,724
1817,724
1817,723
1818,723
1818,722
1819,722
1819,721
1820,721
1820,720
1821,720
1821,719
1822,719
1822,718
1823,718
1823,717
1824,717
1824,715
1825,715
1825,714
1842,714
1842,713
1845,713
1845,712
1850,712
1850,711
1854,711
1854,710
1856,710
1856,709
1858,709
1858,708
1860,708
1860,707
1862,707
1862,706
1863,706
1863,705
1864,705
1864,704
1865,704
1865,703
1866,703
1866,702
1867,702
1867,701
1868,701
1868,700
1871,700
1871,701
1873,701
1873,702
1875,702
1875,703
1878,703
1878,704
1901,704
1901,703
1908,703
1908,702
1912,702
1912,701
1913,701
1913,700
1915,700
1915,699
1916,699
1916,698
1918,698
1918,697
1919,697
1919,696
1921,696
1921,695
1928,695
1928,694
1943,694
1943,695
1944,695
1944,696
1946,696
1946,697
1959,697
1959,698
1961,698
1961,697
1967,697
1967,696
1969,696
1969,695
1973,695
1973,694
1976,694
1976,695
1981,695
1981,696
1985,696
1985,697
1990,697
1990,698
1995,698
1995,699
2001,699
2001,700
2007,700
2007,699
2014,699
2014,698
2018,698
2018,697
2020,697
2020,696
2022,696
2022,695
2024,695
2024,694
2025,694
2025,693
2026,693
2026,692
2027,692
2027,691
2028,691
2028,690
2029,690
2029,689
2030,689
2030,688
2031,688
2031,686
2032,686
2032,684
2033,684
2033,683
2034,683
2034,682
2035,682
2035,681
2036,681
2036,680
2039,680
2039,679
2041,679
2041,678
2043,678
2043,677
2044,677
2044,676
2046,676
2046,675
2047,675
2047,674
2048,674
2048,673
2049,673
2049,672
2050,672
2050,671
2051,671
2051,670
2052,670
2052,668
2053,668
2053,667
2054,667
2054,666
2055,666
2055,664
2056,664
2056,663
2057,663
2057,662
2060,662
2060,663
2062,663
2062,664
2065,664
2065,665
2076,665
2076,664
2080,664
2080,663
2083,663
2083,662
2085,662
2085,661
2087,661
2087,660
2091,660
2091,661
2092,661
2092,662
2093,662
2093,663
2094,663
2094,664
2095,664
2095,665
2096,665
2096,666
2097,666
2097,667
2098,667
2098,668
2099,668
2099,669
2101,669
2101,670
2102,670
2102,671
2104,671
2104,672
2106,672
2106,673
2108,673
2108,674
2112,674
2112,675
2120,675
2120,674
2124,674
2124,673
2127,673
2127,672
2129,672
2129,671
2131,671
2131,670
2133,670
2133,669
2134,669
2134,668
2138,668
2138,667
2144,667
2144,666
2152,666
2152,665
2154,665
2154,664
2157,664
2157,663
2159,663
2159,662
2161,662
2161,661
2162,661
2162,660
2164,660
2164,659
2165,659
2165,658
2166,658
2166,657
2168,657
2168,656
2169,656
2169,655
2170,655
2170,654
2172,654
2172,653
2173,653
2173,652
2175,652
2175,651
2176,651
2176,650
2178,650
2178,649
2179,649
2179,648
2180,648
2180,647
2181,647
2181,646
2182,646
2182,645
2183,645
2183,644
2184,644
2184,643
2189,643
2189,644
2192,644
2192,645
2194,645
2194,646
2196,646
2196,648
2197,648
2197,650
2198,650
2198,652
2199,652
2199,653
2200,653
2200,654
2201,654
2201,655
2202,655
2202,656
2203,656
2203,657
2204,657
2204,658
2205,658
2205,659
2206,659
2206,660
2207,660
2207,661
2208,661
2208,662
2210,662
2210,663
2211,663
2211,664
2213,664
2213,665
2214,665
2214,666
2215,666
2215,667
2217,667
2217,668
2218,668
2218,669
2219,669
2219,672
2220,672
2220,674
2219,674
2219,678
2220,678
2220,681
2221,681
2221,683
2222,683
2222,685
2223,685
2223,687
2224,687
2224,688
2225,688
2225,690
2226,690
2226,691
2227,691
2227,692
2228,692
2228,693
2229,693
2229,694
2231,694
2231,695
2233,695
2233,696
2235,696
2235,697
2239,697
2239,698
2246,698
2246,697
2250,697
2250,696
2252,696
2252,695
2254,695
2254,694
2255,694
2255,693
2257,693
2257,692
2258,692
2258,690
2259,690
2259,689
2260,689
2260,687
2261,687
2261,685
2262,685
2262,682
2263,682
2263,672
2262,672
2262,668
2261,668
2261,666
2260,666
2260,663
2259,663
2259,660
2260,660
2260,648
2259,648
2259,645
2258,645
2258,643
2257,643
2257,641
2256,641
2256,640
2255,640
2255,639
2254,639
2254,637
2253,637
2253,636
2252,636
2252,635
2251,635
2251,634
2250,634
2250,632
2249,632
2249,631
2248,631
2248,629
2247,629
2247,627
2248,627
2248,626
2252,626
2252,625
2257,625
2257,624
2258,624
2258,625
2259,625
2259,629
2260,629
2260,630
2261,630
2261,632
2262,632
2262,633
2263,633
2263,634
2265,634
2265,635
2266,635
2266,636
2267,636
2267,637
2268,637
2268,638
2269,638
2269,639
2270,639
2270,640
2272,640
2272,641
2274,641
2274,642
2276,642
2276,643
2278,643
2278,644
2282,644
2282,645
2284,645
2284,646
2290,646
2290,647
2292,647
2292,648
2294,648
2294,649
2295,649
2295,650
2296,650
2296,651
