x,y
1827,676
1827,675
1832,675
1832,674
1835,674
1835,673
1837,673
1837,672
1839,672
1839,671
1841,671
1841,670
1843,670
1843,669
1849,669
1849,668
1853,668
1853,667
1855,667
1855,666
1868,666
1868,667
1872,667
1872,666
1877,666
1877,665
1880,665
1880,664
1882,664
1882,663
1884,663
1884,662
1892,662
1892,663
1893,663
1893,664
1895,664
1895,665
1899,665
1899,666
1914,666
1914,667
1916,667
1916,668
1919,668
1919,669
1921,669
1921,670
1924,670
1924,671
1927,671
1927,672
1933,672
1933,673
1936,673
1936,674
1939,674
1939,675
1943,675
1943,676
1955,676
1955,675
1958,675
1958,674
1960,674
1960,673
1963,673
1963,672
1965,672
1965,671
1967,671
1967,670
1969,670
1969,669
1971,669
1971,668
1975,668
1975,667
1979,667
1979,666
1983,666
1983,665
1986,665
1986,664
1988,664
1988,663
1990,663
1990,662
1992,662
1992,661
1993,661
1993,660
1995,660
1995,659
1996,659
1996,658
1997,658
1997,657
1999,657
1999,656
2005,656
2005,657
2008,657
2008,658
2010,658
2010,659
2012,659
2012,660
2013,660
2013,661
2016,661
2016,662
2019,662
2019,663
2025,663
2025,664
2032,664
2032,663
2039,663
2039,664
2041,664
2041,665
2044,665
2044,666
2048,666
2048,667
2076,667
2076,666
2081,666
2081,665
2085,665
2085,664
2087,664
2087,663
2089,663
2089,662
2091,662
2091,661
2093,661
2093,660
2095,660
2095,659
2098,659
2098,658
2101,658
2101,657
2103,657
2103,656
2106,656
2106,655
2109,655
2109,654
2112,654
2112,653
2115,653
2115,652
2119,652
2119,651
2121,651
2121,650
2123,650
2123,649
2124,649
2124,648
2128,648
2128,649
2130,649
2130,650
2133,650
2133,651
2154,651
2154,652
2156,652
2156,653
2157,653
2157,654
2159,654
2159,655
2160,655
2160,656
2161,656
2161,657
2163,657
2163,658
2165,658
2165,659
2167,659
2167,660
2171,660
2171,661
2183,661
2183,660
2187,660
2187,659
2190,659
2190,658
2192,658
2192,657
2194,657
2194,656
2196,656
2196,655
2198,655
2198,654
2199,654
2199,653
2200,653
2200,652
2201,652
2201,651
2202,651
2202,650
2204,650
2204,651
2205,651
2205,653
2207,653
2207,654
2208,654
2208,655
2210,655
2210,656
2212,656
2212,657
2215,657
2215,658
2218,658
2218,659
2223,659
2223,660
2232,660
2232,659
2236,659
2236,658
2238,658
2238,657
2241,657
2241,656
2242,656
2242,655
2244,655
2244,654
2245,654
2245,653
2247,653
2247,652
2248,652
2248,651
2266,651
2266,650
2270,650
2270,649
2273,649
2273,648
2292,648
2292,647
2296,647
2296,646
2298,646
2298,645
2300,645
2300,644
2301,644
2301,643
