config,n_seeds,mAP50,mAP50_sd,mAP75,mAP75_sd,mAP50_95,mAP50_95_sd,precision,precision_sd,recall,recall_sd,f1,f1_sd,ic_lo_mAP50,ic_hi_mAP50
YOLO11m-seg · black · COCO,5,0.8833724940755664,0.0206462308531553,0.7451793131074013,0.012300775755355976,0.719211879295299,0.011128341775682431,0.9984962406015038,0.0033625082368418137,0.5563318777292576,0.029390949642731614,0.7141518874673513,0.024237731323631637,0.824062821449436,0.9328304287782709
YOLO11x-seg · black · COCO,5,0.8751079948419507,0.013469423124652873,0.7542174953369942,0.01720940835486497,0.7143241307853041,0.013573864690970442,0.9984251968503937,0.0035213668937004497,0.5353711790393013,0.04056672196504312,0.6962500658004682,0.034581995357712274,0.8183719608495407,0.9238972902861562
YOLO11m-seg · white · COCO,5,0.8512047793544781,0.022309090985029322,0.7213536279216137,0.03431501396893175,0.6929900432906183,0.015574049764445156,0.9984375,0.0034938562148434213,0.559825327510917,0.03244397488385452,0.7169609116661491,0.026807116104033347,0.7945874909663959,0.9017782515070075
YOLO11s-seg · black · COCO,5,0.8027096845304376,0.029020637068577444,0.6620858025152258,0.029609500351980823,0.654610063799636,0.0251028488332344,1.0,0.0,0.4978165938864629,0.03179087287895425,0.6642482411288606,0.027963589394824077,0.7212784507069621,0.8695188702965055
YOLO11m-seg · black · scratch,5,0.7087589812836461,0.054755004340377944,0.5823754340288554,0.06348404284941024,0.5760621356668689,0.04214959775817001,1.0,0.0,0.4497816593886463,0.033965827917257746,0.6198682087175935,0.032751806314627,0.6418464110189213,0.7773960268089027
