Series,Field,Timepoint (h),Reference standard,AI
LUIS RAW||PEP+GB||A3||c1,1,8,+0.7592,-0.2529
LUIS RAW||PEP+GB||A3||c1,1,12,+0.8050,-0.0398
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,-0.0266,-0.0042
Saudável||None||B1||c1,1,12,+0.2474,-0.0901
