run,conf,arquivo,area_px,area_pct,iou,vazia,tem_ferida,gt_area_pct,faixa_gt,n_deteccoes
yolo11m-seg_black_coco_seed42,0.95,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,0,0.0,0.0,1,1,11.854612,10-100%,0
yolo11m-seg_black_coco_seed42,0.2,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.25,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.3,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.35,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.4,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.45,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.5,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.55,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.6,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.65,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.7,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.75,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.8,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.85,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.9,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,0.973594,0,1,17.342628,10-100%,1
yolo11m-seg_black_coco_seed42,0.95,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,0,0.0,0.0,1,1,17.342628,10-100%,0
yolo11m-seg_black_coco_seed42,0.2,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.25,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.3,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.35,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.4,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.45,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.5,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.55,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.6,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.65,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.7,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.75,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.8,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.85,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.9,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,0.975075,0,1,17.76359,10-100%,1
yolo11m-seg_black_coco_seed42,0.95,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,0,0.0,0.0,1,1,17.76359,10-100%,0
yolo11m-seg_black_coco_seed42,0.2,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.25,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.3,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.35,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.4,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.45,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.5,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.55,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.6,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.65,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.7,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.75,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.8,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.85,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,0.916214,0,1,5.601101,5-10%,1
yolo11m-seg_black_coco_seed42,0.9,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,0,0.0,0.0,1,1,5.601101,5-10%,0
yolo11m-seg_black_coco_seed42,0.95,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,0,0.0,0.0,1,1,5.601101,5-10%,0
yolo11m-seg_black_coco_seed42,0.2,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.25,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.3,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.35,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.4,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.45,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.5,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.55,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.6,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.65,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.7,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.75,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,240024,4.761142,0.902424,0,1,4.8219,2.5-5%,1
yolo11m-seg_black_coco_seed42,0.8,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,0,0.0,0.0,1,1,4.8219,2.5-5%,0
yolo11m-seg_black_coco_seed42,0.85,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,0,0.0,0.0,1,1,4.8219,2.5-5%,0
yolo11m-seg_black_coco_seed42,0.9,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,0,0.0,0.0,1,1,4.8219,2.5-5%,0
yolo11m-seg_black_coco_seed42,0.95,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,0,0.0,0.0,1,1,4.8219,2.5-5%,0
yolo11m-seg_black_coco_seed42,0.2,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.25,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.3,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.35,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.4,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.45,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.5,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.55,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.6,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.65,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.7,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.75,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.8,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.85,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.9,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,0.871908,0,1,8.970244,5-10%,1
yolo11m-seg_black_coco_seed42,0.95,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,0,0.0,0.0,1,1,8.970244,5-10%,0
yolo11m-seg_black_coco_seed42,0.2,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.25,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.3,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.35,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.4,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.45,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.5,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.55,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.6,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.65,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.7,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.75,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.8,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.85,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,0.91621,0,1,5.899456,5-10%,1
yolo11m-seg_black_coco_seed42,0.9,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,0,0.0,0.0,1,1,5.899456,5-10%,0
yolo11m-seg_black_coco_seed42,0.95,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,0,0.0,0.0,1,1,5.899456,5-10%,0
yolo11m-seg_black_coco_seed42,0.2,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.25,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.3,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.35,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.4,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.45,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.5,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.55,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.6,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.65,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.7,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.75,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.8,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.85,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.9,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,0.932875,0,1,17.729492,10-100%,1
yolo11m-seg_black_coco_seed42,0.95,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,0,0.0,0.0,1,1,17.729492,10-100%,0
yolo11m-seg_black_coco_seed42,0.2,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,53264,13.003906,0.916836,0,1,13.640869,10-100%,1
yolo11m-seg_black_coco_seed42,0.25,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,53264,13.003906,0.916836,0,1,13.640869,10-100%,1
yolo11m-seg_black_coco_seed42,0.3,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,53264,13.003906,0.916836,0,1,13.640869,10-100%,1
yolo11m-seg_black_coco_seed42,0.35,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,53264,13.003906,0.916836,0,1,13.640869,10-100%,1
yolo11m-seg_black_coco_seed42,0.4,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,53264,13.003906,0.916836,0,1,13.640869,10-100%,1
