series_key,campo,timepoint_h,referencia,ai,diferenca,ai_serie_plausivel,ai_motivo
Originais (1)||None||B5||c1,1,12,0.6416,0.581947,-0.059653,sim,plausivel
Originais (1)||None||B5||c2,2,8,0.2352,0.174554,-0.060646,sim,plausivel
Originais (1)||None||B5||c2,2,12,0.2843,0.171851,-0.112449,sim,plausivel
Originais (1)||None||D1||c2,2,8,0.2561,0.211566,-0.044534,sim,plausivel
Originais (1)||None||D1||c2,2,12,0.432,0.350501,-0.081499,sim,plausivel
P1|CT|F10,F10,48,1.0,1.0,0.0,sim,plausivel
P1|CT|F8,F8,24,1.0,1.0,0.0,sim,plausivel
P1|CT|F8,F8,48,1.0,1.0,0.0,sim,plausivel
P1|PTX|F2,F2,24,0.4384,0.253627,-0.184773,sim,plausivel
P1|PTX|F2,F2,48,0.7695,0.614656,-0.154844,sim,plausivel
P1|PTX|F9,F9,24,0.1489,-0.181234,-0.330134,nao,"fora_[0,1]+nao_monotonica"
P1|PTX|F9,F9,48,0.4793,0.115072,-0.364228,nao,"fora_[0,1]+nao_monotonica"
P2|CARBO+GEO|F14,F14,48,0.4971,0.126228,-0.370872,sim,plausivel
P2|CARBO+GEO|F8,F8,24,0.5044,0.349689,-0.154711,sim,plausivel
P2|CARBO+GEO|F8,F8,48,0.5957,0.333886,-0.261814,sim,plausivel
P2|CARBO|F9,F9,24,0.5362,0.381761,-0.154439,sim,plausivel
P2|CARBO|F9,F9,48,1.0,1.0,0.0,sim,plausivel
P2|CT|F15,F15,24,0.7131,0.612096,-0.101004,sim,plausivel
P2|CT|F15,F15,48,1.0,1.0,0.0,sim,plausivel
P2|CT|F9,F9,24,0.8479,0.787037,-0.060863,sim,plausivel
P2|CT|F9,F9,48,1.0,1.0,0.0,sim,plausivel
P2|GEO|F11,F11,24,0.4712,0.263749,-0.207451,sim,plausivel
Pré-Eclâmpsia||None||B6||c1,1,12,0.7135,0.666574,-0.046926,sim,plausivel
Pré-Eclâmpsia||None||B6||c1,1,24,1.0,1.0,0.0,sim,plausivel
Saudável||None||B1||c1,1,12,0.2474,0.116805,-0.130595,sim,plausivel
Saudável||None||B1||c1,1,24,0.8772,0.830963,-0.046237,sim,plausivel
Saudável||None||B1||c2,2,24,0.6237,0.487077,-0.136623,sim,plausivel
originais||None||A1||c1,1,8,0.4187,0.347585,-0.071115,sim,plausivel
originais||None||A1||c2,2,8,0.2655,0.187376,-0.078124,sim,plausivel
originais||None||B5||c1,1,24,0.4674,0.287027,-0.180373,sim,plausivel
originais||None||D1||c1,1,8,0.4376,0.355889,-0.081711,sim,plausivel
originais||None||D1||c1,1,12,0.5513,0.466561,-0.084739,sim,plausivel
originais||None||D1||c1,1,24,0.8835,0.840053,-0.043447,sim,plausivel
originais||None||D1||c2,2,8,0.4467,0.365114,-0.081586,sim,plausivel
originais||None||D1||c2,2,12,0.5702,0.478916,-0.091284,sim,plausivel
originais||None||D1||c2,2,24,0.7929,0.70167,-0.09123,sim,plausivel
originais||None||D4||c1,1,8,0.6003,0.564256,-0.036044,sim,plausivel
originais||None||D4||c1,1,24,0.8093,0.743614,-0.065686,sim,plausivel
