series_key,campo,timepoint_h,referencia,ai,diferenca,ai_serie_plausivel,ai_motivo
Originais (1)||None||A5||c1,1,24,1.0,1.0,0.0,sim,plausivel
Originais (1)||None||A5||c2,2,8,0.5978,0.586876,-0.010924,sim,plausivel
Originais (1)||None||A5||c2,2,12,0.8303,0.768453,-0.061847,sim,plausivel
Originais (1)||None||A5||c2,2,24,1.0,1.0,0.0,sim,plausivel
Originais (1)||None||B5||c1,1,8,0.5039,0.502866,-0.001034,sim,plausivel
Originais (1)||None||B5||c1,1,12,0.6416,0.64512,0.00352,sim,plausivel
Originais (1)||None||B5||c2,2,8,0.2352,0.448531,0.213331,sim,plausivel
Originais (1)||None||B5||c2,2,12,0.2843,0.575928,0.291628,sim,plausivel
Originais (1)||None||D1||c2,2,8,0.2561,0.47644,0.22034,sim,plausivel
Originais (1)||None||D1||c2,2,12,0.432,0.716737,0.284737,sim,plausivel
P1|CT|F10,F10,48,1.0,1.0,0.0,sim,plausivel
P1|CT|F8,F8,24,1.0,0.991833,-0.008167,sim,plausivel
P1|CT|F8,F8,48,1.0,1.0,0.0,sim,plausivel
P1|PTX|F2,F2,24,0.4384,0.510684,0.072284,sim,plausivel
P1|PTX|F2,F2,48,0.7695,0.722089,-0.047411,sim,plausivel
P1|PTX|F9,F9,24,0.1489,0.144709,-0.004191,sim,plausivel
P1|PTX|F9,F9,48,0.4793,0.352662,-0.126638,sim,plausivel
P2|CARBO+GEO|F14,F14,48,0.4971,0.419832,-0.077268,sim,plausivel
P2|CARBO+GEO|F8,F8,24,0.5044,0.512164,0.007764,sim,plausivel
P2|CARBO+GEO|F8,F8,48,0.5957,0.589446,-0.006254,sim,plausivel
P2|CARBO|F9,F9,24,0.5362,0.335732,-0.200468,sim,plausivel
P2|CARBO|F9,F9,48,1.0,1.0,0.0,sim,plausivel
P2|CT|F9,F9,24,0.8479,0.895643,0.047743,sim,plausivel
P2|CT|F9,F9,48,1.0,1.0,0.0,sim,plausivel
P2|GEO|F11,F11,24,0.4712,0.485259,0.014059,sim,plausivel
Pré-Eclâmpsia||None||B6||c1,1,12,0.7135,0.576666,-0.136834,sim,plausivel
Pré-Eclâmpsia||None||B6||c1,1,24,1.0,1.0,0.0,sim,plausivel
Saudável||None||B1||c1,1,12,0.2474,-0.091929,-0.339329,nao,"fora_[0,1]"
Saudável||None||B1||c1,1,24,0.8772,0.773433,-0.103767,nao,"fora_[0,1]"
Saudável||None||B1||c2,2,24,0.6237,0.464292,-0.159408,sim,plausivel
originais||None||A1||c1,1,8,0.4187,0.402638,-0.016062,sim,plausivel
originais||None||A1||c2,2,8,0.2655,0.289769,0.024269,sim,plausivel
originais||None||B5||c1,1,24,0.4674,1.0,0.5326,sim,plausivel
originais||None||D1||c1,1,8,0.4376,0.429263,-0.008337,sim,plausivel
originais||None||D1||c1,1,12,0.5513,0.52317,-0.02813,sim,plausivel
originais||None||D1||c1,1,24,0.8835,0.820698,-0.062802,sim,plausivel
originais||None||D1||c2,2,8,0.4467,0.413132,-0.033568,sim,plausivel
originais||None||D1||c2,2,12,0.5702,0.537208,-0.032992,sim,plausivel
originais||None||D1||c2,2,24,0.7929,0.819848,0.026948,sim,plausivel
originais||None||D4||c1,1,8,0.6003,0.615458,0.015158,sim,plausivel
originais||None||D4||c1,1,24,0.8093,1.0,0.1907,sim,plausivel
