run,conf,recall,precisao,iou_medio_pos,fn,fp,recall_0-2.5%,recall_2.5-5%,recall_5-10%,recall_10-100%
yolo11m-seg_black_coco_seed44,0.95,0.0,nan,0.0,205,0,0.0,0.0,0.0,0.0
yolo11m-seg_black_coco_seed45,0.2,0.990244,0.980676,0.877806,2,4,0.0,1.0,1.0,0.992593
yolo11m-seg_black_coco_seed45,0.25,0.990244,0.985437,0.880051,2,3,0.0,1.0,1.0,0.992593
yolo11m-seg_black_coco_seed45,0.3,0.985366,0.985366,0.875722,3,3,0.0,1.0,1.0,0.985185
yolo11m-seg_black_coco_seed45,0.35,0.980488,0.985294,0.874133,4,3,0.0,1.0,1.0,0.977778
yolo11m-seg_black_coco_seed45,0.4,0.980488,0.99505,0.873533,4,1,0.0,1.0,1.0,0.977778
yolo11m-seg_black_coco_seed45,0.45,0.980488,0.99505,0.873552,4,1,0.0,1.0,1.0,0.977778
yolo11m-seg_black_coco_seed45,0.5,0.980488,0.99505,0.872968,4,1,0.0,1.0,1.0,0.977778
yolo11m-seg_black_coco_seed45,0.55,0.97561,0.995025,0.866652,5,1,0.0,0.944444,1.0,0.977778
yolo11m-seg_black_coco_seed45,0.6,0.965854,1.0,0.8636,7,0,0.0,0.888889,1.0,0.97037
yolo11m-seg_black_coco_seed45,0.65,0.956098,1.0,0.856684,9,0,0.0,0.833333,1.0,0.962963
yolo11m-seg_black_coco_seed45,0.7,0.936585,1.0,0.842382,13,0,0.0,0.833333,0.921569,0.962963
yolo11m-seg_black_coco_seed45,0.75,0.912195,1.0,0.823906,18,0,0.0,0.722222,0.862745,0.962963
yolo11m-seg_black_coco_seed45,0.8,0.853659,1.0,0.777001,30,0,0.0,0.444444,0.784314,0.940741
yolo11m-seg_black_coco_seed45,0.85,0.721951,1.0,0.663652,57,0,0.0,0.222222,0.509804,0.874074
yolo11m-seg_black_coco_seed45,0.9,0.341463,1.0,0.327821,135,0,0.0,0.0,0.019608,0.511111
yolo11m-seg_black_coco_seed45,0.95,0.0,nan,0.0,205,0,0.0,0.0,0.0,0.0
yolo11m-seg_black_coco_seed46,0.2,1.0,0.971564,0.882491,0,6,1.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed46,0.25,1.0,0.980861,0.882491,0,4,1.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed46,0.3,1.0,0.995146,0.883143,0,1,1.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed46,0.35,1.0,0.995146,0.88283,0,1,1.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed46,0.4,0.990244,1.0,0.880489,2,0,0.0,1.0,1.0,0.992593
yolo11m-seg_black_coco_seed46,0.45,0.990244,1.0,0.880632,2,0,0.0,1.0,1.0,0.992593
yolo11m-seg_black_coco_seed46,0.5,0.985366,1.0,0.876435,3,0,0.0,1.0,1.0,0.985185
yolo11m-seg_black_coco_seed46,0.55,0.985366,1.0,0.876326,3,0,0.0,1.0,1.0,0.985185
yolo11m-seg_black_coco_seed46,0.6,0.980488,1.0,0.874188,4,0,0.0,0.944444,1.0,0.985185
yolo11m-seg_black_coco_seed46,0.65,0.980488,1.0,0.86957,4,0,0.0,0.944444,1.0,0.985185
yolo11m-seg_black_coco_seed46,0.7,0.965854,1.0,0.860328,7,0,0.0,0.777778,1.0,0.985185
yolo11m-seg_black_coco_seed46,0.75,0.931707,1.0,0.833248,14,0,0.0,0.611111,0.941176,0.977778
yolo11m-seg_black_coco_seed46,0.8,0.878049,1.0,0.791956,25,0,0.0,0.277778,0.843137,0.977778
yolo11m-seg_black_coco_seed46,0.85,0.721951,1.0,0.66648,57,0,0.0,0.055556,0.529412,0.888889
yolo11m-seg_black_coco_seed46,0.9,0.287805,1.0,0.27741,146,0,0.0,0.0,0.0,0.437037
yolo11m-seg_black_coco_seed46,0.95,0.0,nan,0.0,205,0,0.0,0.0,0.0,0.0
