series_key,campo,timepoint_h,referencia,ai,diferenca,ai_serie_plausivel,ai_motivo
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,0.4371,0.442976,0.005876,sim,plausivel
Originais (1)||None||A1||c1,1,8,0.5074,0.560043,0.052643,sim,plausivel
Originais (1)||None||A1||c1,1,12,0.7203,1.0,0.2797,sim,plausivel
Originais (1)||None||A1||c1,1,24,1.0,1.0,0.0,sim,plausivel
Originais (1)||None||A1||c2,2,8,0.489,0.49391,0.00491,sim,plausivel
Originais (1)||None||A1||c2,2,12,0.7077,1.0,0.2923,sim,plausivel
Originais (1)||None||A1||c2,2,24,1.0,1.0,0.0,sim,plausivel
Originais (1)||None||A5||c1,1,8,0.6163,0.576105,-0.040195,sim,plausivel
Originais (1)||None||A5||c1,1,12,0.8311,1.0,0.1689,sim,plausivel
Originais (1)||None||A5||c1,1,24,1.0,1.0,0.0,sim,plausivel
Originais (1)||None||A5||c2,2,8,0.5978,0.568527,-0.029273,sim,plausivel
Originais (1)||None||A5||c2,2,12,0.8303,1.0,0.1697,sim,plausivel
Originais (1)||None||A5||c2,2,24,1.0,1.0,0.0,sim,plausivel
Originais (1)||None||B5||c1,1,8,0.5039,0.507955,0.004055,sim,plausivel
Originais (1)||None||B5||c1,1,12,0.6416,0.648824,0.007224,sim,plausivel
Originais (1)||None||B5||c2,2,8,0.2352,0.451075,0.215875,sim,plausivel
Originais (1)||None||B5||c2,2,12,0.2843,0.569995,0.285695,sim,plausivel
Originais (1)||None||D1||c2,2,8,0.2561,0.496515,0.240415,sim,plausivel
Originais (1)||None||D1||c2,2,12,0.432,1.0,0.568,sim,plausivel
P1|CT|F10,F10,48,1.0,1.0,0.0,sim,plausivel
P1|CT|F8,F8,24,1.0,1.0,0.0,sim,plausivel
P1|CT|F8,F8,48,1.0,1.0,0.0,sim,plausivel
P1|PTX|F2,F2,24,0.4384,0.496053,0.057653,sim,plausivel
P1|PTX|F2,F2,48,0.7695,0.696874,-0.072626,sim,plausivel
P1|PTX|F9,F9,24,0.1489,0.169829,0.020929,sim,plausivel
P1|PTX|F9,F9,48,0.4793,0.327854,-0.151446,sim,plausivel
P2|CARBO+GEO|F14,F14,48,0.4971,1.0,0.5029,sim,plausivel
P2|CARBO+GEO|F8,F8,24,0.5044,0.480975,-0.023425,sim,plausivel
P2|CARBO+GEO|F8,F8,48,0.5957,1.0,0.4043,sim,plausivel
P2|CARBO|F9,F9,24,0.5362,1.0,0.4638,sim,plausivel
P2|CARBO|F9,F9,48,1.0,1.0,0.0,sim,plausivel
P2|CT|F9,F9,24,0.8479,0.855445,0.007545,sim,plausivel
P2|CT|F9,F9,48,1.0,1.0,0.0,sim,plausivel
P2|GEO|F11,F11,24,0.4712,0.46382,-0.00738,sim,plausivel
Pré-Eclâmpsia||None||B6||c1,1,12,0.7135,1.0,0.2865,sim,plausivel
Pré-Eclâmpsia||None||B6||c1,1,24,1.0,1.0,0.0,sim,plausivel
Saudável||None||B1||c1,1,12,0.2474,-0.184202,-0.431602,nao,"fora_[0,1]+nao_monotonica"
Saudável||None||B1||c1,1,24,0.8772,1.0,0.1228,nao,"fora_[0,1]+nao_monotonica"
Saudável||None||B1||c2,2,24,0.6237,0.635877,0.012177,sim,plausivel
originais||None||A1||c1,1,8,0.4187,0.403229,-0.015471,sim,plausivel
originais||None||A1||c2,2,8,0.2655,0.288372,0.022872,sim,plausivel
originais||None||B5||c1,1,24,0.4674,1.0,0.5326,sim,plausivel
originais||None||D1||c1,1,8,0.4376,0.453366,0.015766,sim,plausivel
originais||None||D1||c1,1,12,0.5513,0.570828,0.019528,sim,plausivel
originais||None||D1||c1,1,24,0.8835,0.838476,-0.045024,sim,plausivel
originais||None||D1||c2,2,8,0.4467,0.426279,-0.020421,sim,plausivel
originais||None||D1||c2,2,12,0.5702,0.551085,-0.019115,sim,plausivel
originais||None||D1||c2,2,24,0.7929,0.806417,0.013517,sim,plausivel
originais||None||D4||c1,1,8,0.6003,0.605272,0.004972,sim,plausivel
originais||None||D4||c1,1,24,0.8093,1.0,0.1907,sim,plausivel
