filename,area_px,area_pct,width_px,width_sd,n_rois,status,unit_check,pw_check
9f5991f031__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_2.tiff,4876746.000,96.736,2449.018,6.424,10,ok,pixels,1.000000
9f614303f3__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_1.tiff,851740.000,16.895,472.978,92.693,256,ok,pixels,1.000000
a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.tiff,253515.000,5.029,208.937,70.467,74,ok,pixels,1.000000
a1d9784c97__BASELINE__SKOV-3__P2_CARBO_F5__tp0h__Snap-20.tiff,2151951.000,42.686,1748.707,924.087,102,ok,pixels,1.000000
a27829f2e8__HUVEC__Originais_1_None_B5__tp0h__B5_0HR_2_2.tiff,1125280.000,22.321,655.871,252.817,237,ok,pixels,1.000000
a3e15c9ecc__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_1_2.tiff,515864.000,10.233,323.413,108.428,258,ok,pixels,1.000000
a40bd1473a__HUVEC__Originais_1_None_D1__tp8h__D1_8HR_1_2.tiff,562807.000,11.164,310.017,86.944,234,ok,pixels,1.000000
a41e7eccaa__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_1_2.tiff,1746175.000,34.637,1024.346,757.041,225,ok,pixels,1.000000
a66cba3317__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_1.tiff,823586.000,16.337,466.347,89.312,357,ok,pixels,1.000000
a7bed1b95d__HUVEC__originais_None_A5__tp24h__A5_24HR_1.tiff,2337966.000,46.376,1447.243,855.722,166,ok,pixels,1.000000
