ordem,pasta_triagem,arquivo_overlay,motivo,pasta_correta?,categoria_sugerida,confianca,analysis_unit,timepoint_h,campo,area_pct_whst,cell_line,adjudicado_depois_como,whst_input_file,motivo_classificado,modo_falha_computado,contencao_t0
16,_SEG_RUIM/_sub,HUVEC__LUIS_RAW_PEP_GB_A3__tp00h__2__A3_0H_2__e3071d5205.jpg,segmentação pegou apenas uma parte,sim,pegou_so_parte_da_ferida,alta,LUIS RAW||PEP+GB||A3,0,2,7.721,HUVEC,,e3071d5205__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_2.tiff,sub,nao_avaliavel,
17,_SEG_RUIM/_sub,HUVEC__LUIS_RAW_PEP_GB_A3__tp12h__1__A3_12H_1__cc55a9026b.jpg,segmentação pegou apenas uma parte,sim,pegou_so_parte_da_ferida,alta,LUIS RAW||PEP+GB||A3,12,1,4.073,HUVEC,,cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,sub,espuria_fechada,0.0000
18,_SEG_RUIM/_sub,HUVEC__LUIS_RAW_PEP_GB_A3__tp12h__2__A3_12H_2__f8f76efe0c.jpg,"segmentação quase correta, faltou apenas uma parte",sim,pegou_so_parte_da_ferida,alta,LUIS RAW||PEP+GB||A3,12,2,3.685,HUVEC,,f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,sub,espuria_fechada,0.1314
19,_SEG_RUIM/_sub,HUVEC__LUIS_RAW_PEP_MCC_B4__tp08h__2__B4_8H_2__9f0a5a4a06.jpg,"segmentação quase correta, faltou apenas uma parte",sim,pegou_so_parte_da_ferida,alta,LUIS RAW||PEP+MCC||B4,8,2,3.219,HUVEC,,9f0a5a4a06__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_2.tiff,sub,espuria_fechada,0.0000
20,_SEG_RUIM/_sub,HUVEC__LUIS_RAW_PEP_MET3_A6__tp00h__2__A6_0H_2__161686180c.jpg,segmentação pegou apenas uma parte,sim,pegou_so_parte_da_ferida,alta,LUIS RAW||PEP+MET3||A6,0,2,0.128,HUVEC,,161686180c__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_2.tiff,sub,nao_avaliavel,
21,_SEG_RUIM/_sub,HUVEC__LUIS_RAW_PEP_MET3_A6__tp24h__1__A6_24H_1__52cbd70f1b.jpg,"segmentação quase correta, faltou apenas uma parte",sim,pegou_so_parte_da_ferida,alta,LUIS RAW||PEP+MET3||A6,24,1,6.263,HUVEC,,52cbd70f1b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_1.tiff,sub,excesso,0.8385
22,_SEG_RUIM/_sub,HUVEC__LUIS_RAW_PEP_MET3_A6__tp24h__2__A6_24H_2__d2a741e45b.jpg,"segmentação quase correta, faltou apenas uma parte",sim,pegou_so_parte_da_ferida,alta,LUIS RAW||PEP+MET3||A6,24,2,4.926,HUVEC,,d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.tiff,sub,espuria_fechada,0.0156
23,_SEG_RUIM/_sub,HUVEC__LUIS_RAW_PEP_E1__tp08h__2__E1_8H_2__609fee8a39.jpg,"segmentação quase correta, faltou apenas uma parte",sim,pegou_so_parte_da_ferida,alta,LUIS RAW||PEP||E1,8,2,7.165,HUVEC,,609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.tiff,sub,deslocada,0.4123
24,_SEG_RUIM/_sub,HUVEC__Controle_Saudavel_None_B1__tp24h__1__B1_24hr_1__3bad7fe6bb.jpg,"segmentação quase correta, faltou apenas uma parte",sim,pegou_so_parte_da_ferida,alta,Saudável||None||B1,24,1,2.421,HUVEC,,3bad7fe6bb__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_1.tiff,sub,excesso,0.9412
25,_SEG_RUIM/_sub,HUVEC__originais_None_D4__tp08h__2__D4_8HR_2__0a2a2af49b.jpg,"segmentação quase correta, faltou apenas uma parte",sim,pegou_so_parte_da_ferida,alta,originais||None||D4,8,2,4.732,HUVEC,,0a2a2af49b__HUVEC__originais_None_D4__tp8h__D4_8HR_2.tiff,sub,excesso,0.9983
