ordem,pasta_triagem,arquivo_overlay,motivo,pasta_correta?,categoria_sugerida,confianca,analysis_unit,timepoint_h,campo,area_pct_whst,cell_line,adjudicado_depois_como,whst_input_file,motivo_classificado,modo_falha_computado,contencao_t0
59,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp00h__1__D4_0H_1__eeb18a29d8.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,1,74.045,HUVEC,,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,excesso,nao_avaliavel,
60,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp00h__2__D4_0H_2__876603b483.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,2,95.116,HUVEC,,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,excesso,nao_avaliavel,
61,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp08h__1__D4_8H_1__4826c4f4b8.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,8,1,36.771,HUVEC,,4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.tiff,excesso,excesso,0.7200
62,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp08h__2__D4_8H_2__67ffbd1e7d.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,8,2,30.468,HUVEC,,67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.tiff,excesso,excesso,0.9830
63,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp12h__1__D4_12H_1__df5b31f84c.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,12,1,44.185,HUVEC,,df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.tiff,excesso,excesso,0.7716
64,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp12h__2__D4_12H_2__d4aba0cc0b.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,12,2,60.523,HUVEC,,d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.tiff,excesso,excesso,0.9872
65,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp24h__1__D4_24H_1__d8240f29e1.jpg,"imagem ruidosa, trataria como invalida",nao,sem_ferida_no_campo,alta,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,24,1,84.11,HUVEC,,d8240f29e1__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_1.tiff,imagem_invalida,excesso,0.7305
66,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp24h__2__D4_24H_2__9f5991f031.jpg,"imagem ruidosa, trataria como invalida",nao,sem_ferida_no_campo,alta,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,24,2,96.736,HUVEC,,9f5991f031__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_2.tiff,imagem_invalida,excesso,0.9524
67,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp00h__1__C5_0H_1_2__4d1c387ecc.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,0,1,47.974,HUVEC,,4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2.tiff,excesso,nao_avaliavel,
68,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp00h__2__C5_0H_2_2__cf9152592e.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,0,2,64.566,HUVEC,,cf9152592e__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_2_2.tiff,excesso,nao_avaliavel,
69,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp08h__1__C5_8H_1_2__c942b61a06.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,8,1,70.706,HUVEC,,c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.tiff,excesso,excesso,0.5958
70,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp08h__2__C5_8H_2_2__77136aab22.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,8,2,60.516,HUVEC,,77136aab22__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_2_2.tiff,excesso,excesso,0.8628
71,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp12h__1__C5_12H_1_2__2f5428b547.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,12,1,43.039,HUVEC,,2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.tiff,excesso,excesso,0.7962
72,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp12h__2__C5_12H_2_2__b248b322dd.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,12,2,64.035,HUVEC,,b248b322dd__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_2_2.tiff,excesso,excesso,0.7548
73,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp24h__1__C5_24H_1_2__6af51551c0.jpg,"imagem ruidosa, trataria como invalida",nao,sem_ferida_no_campo,alta,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,24,1,82.762,HUVEC,,6af51551c0__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_1_2.tiff,imagem_invalida,deslocada,0.4833
74,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp24h__2__C5_24H_2_2__17691aa585.jpg,"imagem ruidosa, trataria como invalida",nao,sem_ferida_no_campo,alta,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,24,2,75.585,HUVEC,,17691aa585__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_2_2.tiff,imagem_invalida,excesso,0.6662
75,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp08h__1__B1_8H_1_2__7be1c29792.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,8,1,63.688,HUVEC,,7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2.tiff,excesso,deslocada,0.4525
76,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp12h__1__B1_12H_1_2__b050d01a16.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,12,1,53.277,HUVEC,,b050d01a16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_1_2.tiff,excesso,deslocada,0.3629
77,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp24h__1__B1_24H_1_2__7b82c62a3a.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,24,1,33.445,HUVEC,,7b82c62a3a__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_1_2.tiff,excesso,excesso,0.5215
78,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp24h__2__B1_24H_2_3__11aad82875.jpg,pegou fora da ferida,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,24,2,28.753,HUVEC,,11aad82875__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_2_3.tiff,deslocada,deslocada,0.0004
79,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp08h__1__A2_8H_1_2__ff629ecc3f.jpg,"imagem ruidosa, segmentação dificil",duvida,contorno_fora_da_ferida,media,Migração (PET e PEP) n2 - RAW||PEP||A2,8,1,50.08,HUVEC,,ff629ecc3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_1_2.tiff,imagem_invalida,nao_avaliavel,
80,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp08h__2__A2_8H_2_3__ee865b4881.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PEP||A2,8,2,51.344,HUVEC,,ee865b4881__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_2_3.tiff,excesso,deslocada,0.4958
81,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp12h__1__A2_12H_1_2__bec6037b38.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PEP||A2,12,1,53.112,HUVEC,,bec6037b38__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_1_2.tiff,excesso,nao_avaliavel,
82,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp12h__2__A2_12H_2_2__267a4a1f3f.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PEP||A2,12,2,61.873,HUVEC,,267a4a1f3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_2_2.tiff,excesso,deslocada,0.3926
83,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp24h__1__A2_24H_1_3__294bd4aad2.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PEP||A2,24,1,70.255,HUVEC,,294bd4aad2__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_1_3.tiff,excesso,nao_avaliavel,
84,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp24h__2__A2_24H_2_3__8c3064543d.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PEP||A2,24,2,67.931,HUVEC,,8c3064543d__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_2_3.tiff,excesso,deslocada,0.4002
85,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp00h__2__D3_0H_2_2__074ae97d16.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,0,2,85.534,HUVEC,,074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,excesso,nao_avaliavel,
86,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp08h__1__D3_8H_1_2__a41e7eccaa.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,8,1,34.637,HUVEC,,a41e7eccaa__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_1_2.tiff,excesso,excesso,0.5642
87,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp08h__2__D3_8H_2_2__8db9535923.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,8,2,33.761,HUVEC,,8db9535923__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_2_2.tiff,excesso,excesso,0.9390
88,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp12h__1__D3_12H_1_2__6b8d096cd6.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,12,1,44.05,HUVEC,,6b8d096cd6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_1_2.tiff,excesso,deslocada,0.4570
89,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp12h__2__D3_12H_2_2__3dea5f7bdf.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,12,2,46.72,HUVEC,,3dea5f7bdf__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_2_2.tiff,excesso,excesso,0.8644
90,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp24h__1__D3_24H_1_2__b74ccec3d4.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,24,1,42.255,HUVEC,,b74ccec3d4__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_1_2.tiff,excesso,deslocada,0.3875
91,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp24h__2__D3_24H_2_2__313ff6b3d6.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,24,2,51.686,HUVEC,,313ff6b3d6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_2_2.tiff,excesso,excesso,0.9644
92,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp00h__1__D1_0H_1_3__590e6c1504.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n3 - RAW||None||D1,0,1,39.833,HUVEC,,590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,excesso,nao_avaliavel,
93,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp08h__1__D1_8H_1_3__54c61f325d.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n3 - RAW||None||D1,8,1,46.625,HUVEC,,54c61f325d__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_1_3.tiff,excesso,deslocada,0.3435
94,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp08h__2__D1_8H_2__246463cc3a.jpg,segmentação boa,nao,ok,alta,Migração (PET e PEP) n3 - RAW||None||D1,8,2,16.654,HUVEC,,246463cc3a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_2.tiff,segmentacao_ok,excesso,0.7091
95,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp12h__1__D1_12H_1_3__ad9f9e8e56.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n3 - RAW||None||D1,12,1,69.25,HUVEC,,ad9f9e8e56__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_1_3.tiff,excesso,deslocada,0.4116
96,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp12h__2__D1_12H_2_3__61972712e8.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n3 - RAW||None||D1,12,2,92.334,HUVEC,,61972712e8__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_2_3.tiff,excesso,deslocada,0.1705
97,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp00h__1__D4_0H_1_3__72ec8e45a1.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n3 - RAW||None||D4,0,1,40.238,HUVEC,,72ec8e45a1__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_1_3.tiff,excesso,nao_avaliavel,
98,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp00h__2__D4_0H_2_3__6e6e66cf02.jpg,invalida,nao,monolayer_nao_confluente,alta,Migração (PET e PEP) n3 - RAW||None||D4,0,2,89.432,HUVEC,,6e6e66cf02__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_2_3.tiff,imagem_invalida,nao_avaliavel,
99,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp08h__1__D4_8H_1_3__62cb1d4bdc.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n3 - RAW||None||D4,8,1,42.402,HUVEC,,62cb1d4bdc__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_1_3.tiff,excesso,excesso,0.6720
100,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp08h__2__D4_8H_2_3__c07bc84c98.jpg,invalida,nao,monolayer_nao_confluente,alta,Migração (PET e PEP) n3 - RAW||None||D4,8,2,87.037,HUVEC,,c07bc84c98__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_2_3.tiff,imagem_invalida,excesso,0.8916
101,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp12h__1__D4_12H_1_3__db5f1d05ce.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n3 - RAW||None||D4,12,1,72.64,HUVEC,,db5f1d05ce__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_1_3.tiff,excesso,excesso,0.5477
102,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp12h__2__D4_12H_2_3__de4591208a.jpg,invalida,nao,monolayer_nao_confluente,alta,Migração (PET e PEP) n3 - RAW||None||D4,12,2,89.506,HUVEC,,de4591208a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_2_3.tiff,imagem_invalida,excesso,0.8872
103,_SEG_RUIM/_super,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp24h__1__D4_24H_1_3__219024d892.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Migração (PET e PEP) n3 - RAW||None||D4,24,1,73.602,HUVEC,,219024d892__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp24h__D4_24H_1_3.tiff,excesso,excesso,0.5349
104,_SEG_RUIM/_super,HUVEC__Originais_1_None_A1__tp00h__1__A1_0HR_1_2__acb23080b8.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||A1,0,1,38.19,HUVEC,,acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.tiff,excesso,nao_avaliavel,
105,_SEG_RUIM/_super,HUVEC__Originais_1_None_A1__tp08h__1__A1_8HR_1_2__ba096361b8.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||A1,8,1,20.817,HUVEC,,ba096361b8__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_1_2.tiff,excesso,excesso,0.7710
106,_SEG_RUIM/_super,HUVEC__Originais_1_None_A1__tp08h__2__A1_8HR_2_2__f9a5587463.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||A1,8,2,23.489,HUVEC,,f9a5587463__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_2_2.tiff,excesso,excesso,0.6479
107,_SEG_RUIM/_super,HUVEC__Originais_1_None_A1__tp12h__1__A1_12HR_1_2__e8f27e802d.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||A1,12,1,48.008,HUVEC,,e8f27e802d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_1_2.tiff,excesso,excesso,0.5732
108,_SEG_RUIM/_super,HUVEC__Originais_1_None_A1__tp12h__2__A1_12HR_2_2__3bd025364d.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||A1,12,2,35.689,HUVEC,,3bd025364d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_2_2.tiff,excesso,deslocada,0.4202
109,_SEG_RUIM/_super,HUVEC__Originais_1_None_A1__tp24h__1__A1_24HR_1_2__7f4a54ced3.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,Originais (1)||None||A1,24,1,64.502,HUVEC,,7f4a54ced3__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_1_2.tiff,espuria_fechada,excesso,0.5668
110,_SEG_RUIM/_super,HUVEC__Originais_1_None_A1__tp24h__2__A1_24HR_2_2__0c9eecd4e4.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,Originais (1)||None||A1,24,2,35.943,HUVEC,,0c9eecd4e4__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_2_2.tiff,espuria_fechada,deslocada,0.3910
111,_SEG_RUIM/_super,HUVEC__Originais_1_None_A5__tp08h__1__A5_8HR_1_2__402aa9005a.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||A5,8,1,35.47,HUVEC,,402aa9005a__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_1_2.tiff,excesso,deslocada,0.3891
112,_SEG_RUIM/_super,HUVEC__Originais_1_None_A5__tp08h__2__A5_8HR_2_2__b55011ddef.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||A5,8,2,22.277,HUVEC,,b55011ddef__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_2_2.tiff,excesso,excesso,0.6227
113,_SEG_RUIM/_super,HUVEC__Originais_1_None_A5__tp12h__1__A5_12HR_1_2__1e53de2f60.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||A5,12,1,41.13,HUVEC,,1e53de2f60__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_1_2.tiff,excesso,deslocada,0.3066
114,_SEG_RUIM/_super,HUVEC__Originais_1_None_A5__tp12h__2__A5_12HR_2_2__8380cf36f6.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||A5,12,2,18.376,HUVEC,,8380cf36f6__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_2_2.tiff,excesso,excesso,0.6744
115,_SEG_RUIM/_super,HUVEC__Originais_1_None_A5__tp24h__1__A5_24HR_1_2__915659805f.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,Originais (1)||None||A5,24,1,61.022,HUVEC,,915659805f__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_1_2.tiff,espuria_fechada,deslocada,0.1906
116,_SEG_RUIM/_super,HUVEC__Originais_1_None_A5__tp24h__2__A5_24HR_2_2__1b7a6d4b5b.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,Originais (1)||None||A5,24,2,50.977,HUVEC,,1b7a6d4b5b__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_2_2.tiff,espuria_fechada,deslocada,0.2343
117,_SEG_RUIM/_super,HUVEC__Originais_1_None_B5__tp00h__2__B5_0HR_2_2__a27829f2e8.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||B5,0,2,22.321,HUVEC,,a27829f2e8__HUVEC__Originais_1_None_B5__tp0h__B5_0HR_2_2.tiff,excesso,nao_avaliavel,
118,_SEG_RUIM/_super,HUVEC__Originais_1_None_B5__tp08h__1__B5_8HR_1_2__b907ae85dd.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||B5,8,1,15.09,HUVEC,,b907ae85dd__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_1_2.tiff,excesso,excesso,0.7126
119,_SEG_RUIM/_super,HUVEC__Originais_1_None_B5__tp08h__2__B5_8HR_2_2__dc452cba48.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||B5,8,2,17.072,HUVEC,,dc452cba48__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_2_2.tiff,excesso,excesso,0.7807
