whst_input_file,cell_line,timepoint_h,analysis_unit,series_key,campo,grupo_split,is_baseline,area_pct,categoria,needs_correction,raw_file,test_image
ba850ac4ac__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,HUVEC,12,Saudável||None||B1,Saudável||None||B1||c1,1,Controle+Saudavel||None||B1,no,25.072,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,B1 12hr_1.tiff,B1 12hr_1_png.rf.dB4OztvLmzVa4BGq5jCN.png
3bad7fe6bb__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_1.tiff,HUVEC,24,Saudável||None||B1,Saudável||None||B1||c1,1,Controle+Saudavel||None||B1,no,2.421,OK,0,B1 24hr 1.tiff,B1 24hr 1_png.rf.wZriPsVdQe9B1XYh0ypQ.png
cd7390ba07__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,HUVEC,0,Saudável||None||B1,Saudável||None||B1||c2,2,Controle+Saudavel||None||B1,no,18.31,OK,0,B1 0hr_2.tiff,B1 0hr_2_png.rf.wWUkB0l85vJDlD6q526J.png
92633214a0__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_2.tiff,HUVEC,24,Saudável||None||B1,Saudável||None||B1||c2,2,Controle+Saudavel||None||B1,no,6.89,OK,0,B1 24hr 2.tiff,B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png
b4e873c613__HUVEC__originais_None_A1__tp0h__A1_0HR_1.tiff,HUVEC,0,originais||None||A1,originais||None||A1||c1,1,originais||None||A1,no,12.494,OK,0,A1 0HR 1.tiff,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png
19b5407474__HUVEC__originais_None_A1__tp8h__A1_8HR_1.tiff,HUVEC,8,originais||None||A1,originais||None||A1||c1,1,originais||None||A1,no,36.085,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,A1 8HR 1.tiff,A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png
8bf826e872__HUVEC__originais_None_A1__tp0h__A1_0HR_2.tiff,HUVEC,0,originais||None||A1,originais||None||A1||c2,2,originais||None||A1,no,30.903,OK,0,A1 0HR 2.tiff,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png
10c73cd55a__HUVEC__originais_None_A1__tp8h__A1_8HR_2.tiff,HUVEC,8,originais||None||A1,originais||None||A1||c2,2,originais||None||A1,no,43.687,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,A1 8HR 2.tiff,A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png
7d8b79a5ad__HUVEC__originais_None_A1__tp24h__A1_24HR_2.tiff,HUVEC,24,originais||None||A1,originais||None||A1||c2,2,originais||None||A1,no,14.11,OK,0,A1 24HR 2.tiff,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png
e4bb99f05d__BASELINE__HUVEC__originais_None_A5__tp0h__A5_0HR_1.tiff,HUVEC,0,originais||None||A5,originais||None||A5||c1,1,originais||None||A5,yes,26.026,OK,0,A5 0HR 1.tiff,(baseline_recuperado)
a99d3e28ae__HUVEC__originais_None_A5__tp8h__A5_8HR_1.tiff,HUVEC,8,originais||None||A5,originais||None||A5||c1,1,originais||None||A5,no,67.754,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,A5 8HR 1.tiff,A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png
b83dc2f0a0__HUVEC__originais_None_A5__tp12h__A5_12HR_1.tiff,HUVEC,12,originais||None||A5,originais||None||A5||c1,1,originais||None||A5,no,22.582,OK,0,A5 12HR 1.tiff,A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png
a7bed1b95d__HUVEC__originais_None_A5__tp24h__A5_24HR_1.tiff,HUVEC,24,originais||None||A5,originais||None||A5||c1,1,originais||None||A5,no,46.376,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,A5 24HR 1.tiff,A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png
004fc0a19e__HUVEC__originais_None_A5__tp12h__A5_12HR_2.tiff,HUVEC,12,originais||None||A5,originais||None||A5||c2,2,originais||None||A5,no,11.542,OK,0,A5 12HR 2.tiff,A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png
9c1610d4f3__HUVEC__originais_None_A5__tp24h__A5_24HR_2.tiff,HUVEC,24,originais||None||A5,originais||None||A5||c2,2,originais||None||A5,no,9.272,DISCORDANCIA_CAMPO,1,A5 24HR 2.tiff,A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png
bdd482f7dc__HUVEC__originais_None_B5__tp0h__B5_0HR_1.tiff,HUVEC,0,originais||None||B5,originais||None||B5||c1,1,originais||None||B5,no,75.491,OK,0,B5 0HR 1.tiff,B5 0HR 1_png.rf.HyxAq2SZFEx1y342m6b9.png
984fac6443__HUVEC__originais_None_B5__tp24h__B5_24HR_1.tiff,HUVEC,24,originais||None||B5,originais||None||B5||c1,1,originais||None||B5,no,40.204,OK,0,B5 24HR 1.tiff,B5 24HR 1_png.rf.TJTLDoAzR6YqhVVqJjBV.png
5402a99d17__HUVEC__originais_None_B5__tp8h__B5_8HR_2.tiff,HUVEC,8,originais||None||B5,originais||None||B5||c2,2,originais||None||B5,no,21.037,OK,0,B5 8HR 2.tiff,B5 8HR 2_png.rf.BzRPidTOrz4nL1zIlvSL.png
c47de367f7__HUVEC__originais_None_B5__tp12h__B5_12HR_2.tiff,HUVEC,12,originais||None||B5,originais||None||B5||c2,2,originais||None||B5,no,15.404,OK,0,B5 12HR 2.tiff,B5 12HR 2_png.rf.mSR2WAZaiHT4hljqFuAE.png
857d6a0b73__HUVEC__originais_None_D1__tp0h__D1_0HR_1.tiff,HUVEC,0,originais||None||D1,originais||None||D1||c1,1,originais||None||D1,no,16.757,OK,0,D1 0HR 1.tiff,D1 0HR 1_png.rf.X95BBgcop2LdYBHvWj7G.png
b98f1d3be8__HUVEC__originais_None_D1__tp8h__D1_8HR_1.tiff,HUVEC,8,originais||None||D1,originais||None||D1||c1,1,originais||None||D1,no,10.469,OK,0,D1 8HR 1.tiff,D1 8HR 1_png.rf.7pXlMXWWJkv2xLuAp89c.png
c01f3f16cb__HUVEC__originais_None_D1__tp12h__D1_12HR_1.tiff,HUVEC,12,originais||None||D1,originais||None||D1||c1,1,originais||None||D1,no,8.311,OK,0,D1 12HR 1.tiff,D1 12HR 1_png.rf.Sa5pwYNBsukEYVE7qdCO.png
8ea9f57fed__HUVEC__originais_None_D1__tp24h__D1_24HR_1.tiff,HUVEC,24,originais||None||D1,originais||None||D1||c1,1,originais||None||D1,no,4.703,OK,0,D1 24HR 1.tiff,D1 24HR 1_png.rf.D7yfyoxo08GRgfqWxkKs.png
7588e611d5__HUVEC__originais_None_D1__tp0h__D1_0HR_2.tiff,HUVEC,0,originais||None||D1,originais||None||D1||c2,2,originais||None||D1,no,21.048,OK,0,D1 0HR 2.tiff,D1 0HR 2_png.rf.pBkydjxMgVt0vB999uLo.png
365467be4f__HUVEC__originais_None_D1__tp8h__D1_8HR_2.tiff,HUVEC,8,originais||None||D1,originais||None||D1||c2,2,originais||None||D1,no,11.646,OK,0,D1 8HR 2.tiff,D1 8HR 2_png.rf.zXqaP0fHqHbabD0CzjuF.png
ff163eb7bd__HUVEC__originais_None_D1__tp12h__D1_12HR_2.tiff,HUVEC,12,originais||None||D1,originais||None||D1||c2,2,originais||None||D1,no,9.047,OK,0,D1 12HR 2.tiff,D1 12HR 2_png.rf.c61b9Qj6PnDGEcivk5oi.png
07f7f3ae69__HUVEC__originais_None_D1__tp24h__D1_24HR_2.tiff,HUVEC,24,originais||None||D1,originais||None||D1||c2,2,originais||None||D1,no,4.36,OK,0,D1 24HR 2.tiff,D1 24HR 2_png.rf.uoxKxnADebGlXimnPrEx.png
cd14eeaab0__HUVEC__originais_None_D4__tp0h__D4_0HR_1.tiff,HUVEC,0,originais||None||D4,originais||None||D4||c1,1,originais||None||D4,no,17.387,OK,0,D4 0HR 1.tiff,D4 0HR 1_png.rf.eLqJwBy4PkAeXHhqw8Ir.png
89b61b11f6__HUVEC__originais_None_D4__tp8h__D4_8HR_1.tiff,HUVEC,8,originais||None||D4,originais||None||D4||c1,1,originais||None||D4,no,6.95,OK,0,D4 8HR 1.tiff,D4 8HR 1_png.rf.VEshHRtiysfYv1YrXVR9.png
32105a21ed__HUVEC__originais_None_D4__tp12h__D4_12HR_1.tiff,HUVEC,12,originais||None||D4,originais||None||D4||c1,1,originais||None||D4,no,15.77,FALHA_NAO_MONOTONICO,1,D4 12HR 1.tiff,D4 12HR 1_png.rf.coQP5Rm68FoQiPA5lE4l.png
f676cb2911__HUVEC__originais_None_D4__tp24h__D4_24HR_1.tiff,HUVEC,24,originais||None||D4,originais||None||D4||c1,1,originais||None||D4,no,3.316,DISCORDANCIA_CAMPO,1,D4 24HR 1.tiff,D4 24HR 1_png.rf.ZeWox4g9WSQYjCRdF5Hj.png
5870bb947e__HUVEC__originais_None_D4__tp0h__D4_0HR_2.tiff,HUVEC,0,originais||None||D4,originais||None||D4||c2,2,originais||None||D4,no,16.432,OK,0,D4 0HR 2.tiff,D4 0HR 2_png.rf.EwNjDB9ss3gmM00iJqPT.png
0a2a2af49b__HUVEC__originais_None_D4__tp8h__D4_8HR_2.tiff,HUVEC,8,originais||None||D4,originais||None||D4||c2,2,originais||None||D4,no,4.732,OK,0,D4 8HR 2.tiff,D4 8HR 2_png.rf.1gESfR3nmJtUf5QdqE6H.png
bcc023dcdc__HUVEC__originais_None_D4__tp12h__D4_12HR_2.tiff,HUVEC,12,originais||None||D4,originais||None||D4||c2,2,originais||None||D4,no,7.45,OK,0,D4 12HR 2.tiff,D4 12HR 2_png.rf.3mHz6QXfVp3bYuBorSyN.png
3bb0ffa3c2__HUVEC__originais_None_D4__tp24h__D4_24HR_2.tiff,HUVEC,24,originais||None||D4,originais||None||D4||c2,2,originais||None||D4,no,0.449,DISCORDANCIA_CAMPO,1,D4 24HR 2.tiff,D4 24HR 2_png.rf.aSdWjnYDFFICPSVHPh41.png
47d9864f0d__SKOV-3__P1_CT_F10__tp0h__ct2_5.tiff,SKOV-3,0,P1|CT|F10,P1|CT|F10,F10,P1|CT|F10,no,39.654,OK,0,ct2_5.tiff,ct2_5_png.rf.V6uuFIT0hRf8VvfkI0ft.png
b683f7cf68__SKOV-3__P1_CT_F10__tp48h__Snap-10_2.tiff,SKOV-3,48,P1|CT|F10,P1|CT|F10,F10,P1|CT|F10,no,27.95,OK,0,Snap-10 (2).tiff,Snap-10_146_png.rf.J1zTbpCRqsOW6DtsIPzv.png
8ece12b29e__SKOV-3__P1_CT_F8__tp0h__ct2_3.tiff,SKOV-3,0,P1|CT|F8,P1|CT|F8,F8,P1|CT|F8,no,36.461,OK,0,ct2_3.tiff,ct2_3_png.rf.05gH6Q4BVtzjbT8GvpXk.png
1d20187a19__SKOV-3__P1_CT_F8__tp24h__Snap-09_2.tiff,SKOV-3,24,P1|CT|F8,P1|CT|F8,F8,P1|CT|F8,no,39.505,FALHA_CLOSURE_NEG,1,Snap-09 (2).tiff,Snap-09_200_png.rf.T1DuJr60ClWyEIrNPE9K.png
95925abdae__SKOV-3__P1_CT_F8__tp48h__Snap-08_2.tiff,SKOV-3,48,P1|CT|F8,P1|CT|F8,F8,P1|CT|F8,no,75.984,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,Snap-08 (2).tiff,Snap-08_141_png.rf.xxwXm4vgaTgEnxfrDBvk.png
f0af91b428__SKOV-3__P1_GEO+PTX_F1__tp24h__Snap-47_2.tiff,SKOV-3,24,P1|GEO+PTX|F1,P1|GEO+PTX|F1,F1,P1|GEO+PTX|F1,no,48.583,OK,0,Snap-47 (2).tiff,Snap-47_219_png.rf.tXiQQL4hg3VyVt8yhPHg.png
f4b158f3ff__SKOV-3__P1_GEO+PTX_F1__tp48h__Snap-47_2.tiff,SKOV-3,48,P1|GEO+PTX|F1,P1|GEO+PTX|F1,F1,P1|GEO+PTX|F1,no,16.028,OK,0,Snap-47 (2).tiff,Snap-47_159_png.rf.iWHwHxKcpvJIH7RHtxRu.png
e6ef55bb93__SKOV-3__P1_GEO+PTX_F1__tp72h__Snap-36.tiff,SKOV-3,72,P1|GEO+PTX|F1,P1|GEO+PTX|F1,F1,P1|GEO+PTX|F1,no,16.822,OK,0,Snap-36.tiff,Snap-36_271_png.rf.sfFr7wfzXmMz4JWE34hv.png
07006e35fe__SKOV-3__P1_GEO+PTX_F6__tp24h__Snap-52_2.tiff,SKOV-3,24,P1|GEO+PTX|F6,P1|GEO+PTX|F6,F6,P1|GEO+PTX|F6,no,25.398,OK,0,Snap-52 (2).tiff,Snap-52_213_png.rf.YrkkVK1Bonf3TxwPZWyE.png
58a4cc19a9__SKOV-3__P1_GEO+PTX_F6__tp48h__Snap-52_2.tiff,SKOV-3,48,P1|GEO+PTX|F6,P1|GEO+PTX|F6,F6,P1|GEO+PTX|F6,no,1.543,OK,0,Snap-52 (2).tiff,Snap-52_153_png.rf.jWozliFwqBh7FtxPjDhr.png
2166dad4b4__SKOV-3__P1_GEO+PTX_F6__tp72h__Snap-41.tiff,SKOV-3,72,P1|GEO+PTX|F6,P1|GEO+PTX|F6,F6,P1|GEO+PTX|F6,no,8.951,FALHA_NAO_MONOTONICO,1,Snap-41.tiff,Snap-41_270_png.rf.46zb8PtP1Yuu9Wit1FpP.png
aceb303f81__SKOV-3__P1_GEO_F11__tp24h__Snap-42_2.tiff,SKOV-3,24,P1|GEO|F11,P1|GEO|F11,F11,P1|GEO|F11,no,20.789,OK,0,Snap-42 (2).tiff,Snap-42_225_png.rf.mQxoBxfdEUUtVkhWybfs.png
1c257ba6ee__SKOV-3__P1_GEO_F11__tp48h__Snap-42_2.tiff,SKOV-3,48,P1|GEO|F11,P1|GEO|F11,F11,P1|GEO|F11,no,31.25,FALHA_NAO_MONOTONICO,1,Snap-42 (2).tiff,Snap-42_165_png.rf.3eAR7nfV8aWUfPbBc82Q.png
6dfed6db6e__SKOV-3__P1_GEO_F11__tp72h__Snap-31.tiff,SKOV-3,72,P1|GEO|F11,P1|GEO|F11,F11,P1|GEO|F11,no,1.455,OK,0,Snap-31.tiff,Snap-31_281_png.rf.HrwVzS03qTHBX5RB7awf.png
d421258d9f__SKOV-3__P1_GEO_F6__tp24h__Snap-37_2.tiff,SKOV-3,24,P1|GEO|F6,P1|GEO|F6,F6,P1|GEO|F6,no,24.997,OK,0,Snap-37 (2).tiff,Snap-37_235_png.rf.fp1LasdFT1TZbfgrTie6.png
d96e0fc45b__SKOV-3__P1_GEO_F6__tp48h__Snap-37_2.tiff,SKOV-3,48,P1|GEO|F6,P1|GEO|F6,F6,P1|GEO|F6,no,40.782,FALHA_NAO_MONOTONICO,1,Snap-37 (2).tiff,Snap-37_175_png.rf.FF9MN09bmlSbN40cxQRu.png
4406107ac9__SKOV-3__P1_GEO_F6__tp72h__Snap-26.tiff,SKOV-3,72,P1|GEO|F6,P1|GEO|F6,F6,P1|GEO|F6,no,0.867,OK,0,Snap-26.tiff,Snap-26_283_png.rf.YFDkIZNg1W2rRyv6xoZQ.png
61e00c0106__SKOV-3__P1_PTX_F2__tp0h__ptx1_2.tiff,SKOV-3,0,P1|PTX|F2,P1|PTX|F2,F2,P1|PTX|F2,no,27.336,OK,0,ptx1_2.tiff,ptx1_2_png.rf.mOSxinMIUOQxQUjpAhxb.png
4e02b25d63__SKOV-3__P1_PTX_F2__tp24h__Snap-18_2.tiff,SKOV-3,24,P1|PTX|F2,P1|PTX|F2,F2,P1|PTX|F2,no,15.352,OK,0,Snap-18 (2).tiff,Snap-18_182_png.rf.0olrnxTCWxDIVmtPK3HA.png
691f27f27e__SKOV-3__P1_PTX_F2__tp48h__Snap-18_2.tiff,SKOV-3,48,P1|PTX|F2,P1|PTX|F2,F2,P1|PTX|F2,no,6.301,OK,0,Snap-18 (2).tiff,Snap-18_122_png.rf.rEzRHI9DOsMmEv8NXGFz.png
24876cef41__SKOV-3__P1_PTX_F9__tp0h__ptx2_4.tiff,SKOV-3,0,P1|PTX|F9,P1|PTX|F9,F9,P1|PTX|F9,no,40.021,OK,0,ptx2_4.tiff,ptx2_4_png.rf.YEH27Bh4es5Hup4qomsA.png
76e82b7d28__SKOV-3__P1_PTX_F9__tp24h__Snap-25_2.tiff,SKOV-3,24,P1|PTX|F9,P1|PTX|F9,F9,P1|PTX|F9,no,34.063,OK,0,Snap-25 (2).tiff,Snap-25_184_png.rf.fnCmHOHxb5uRZMEeY7RB.png
2f8f6fd531__SKOV-3__P1_PTX_F9__tp48h__Snap-25_2.tiff,SKOV-3,48,P1|PTX|F9,P1|PTX|F9,F9,P1|PTX|F9,no,20.838,OK,0,Snap-25 (2).tiff,Snap-25_124_png.rf.qhyZRieBWx1vF8Vfj4ck.png
491a59f24e__SKOV-3__P2_CARBO+GEO_F14__tp0h__Snap-60.tiff,SKOV-3,0,P2|CARBO+GEO|F14,P2|CARBO+GEO|F14,F14,P2|CARBO+GEO|F14,no,38.565,OK,0,Snap-60.tiff,Snap-60_png.rf.RpcRTxyR97nXnbvR3urB.png
f6f69dd7a1__SKOV-3__P2_CARBO+GEO_F14__tp48h__Snap-60.tiff,SKOV-3,48,P2|CARBO+GEO|F14,P2|CARBO+GEO|F14,F14,P2|CARBO+GEO|F14,no,19.396,OK,0,Snap-60.tiff,Snap-60_12_png.rf.AiY33Mo4Daj2M4cZgUnh.png
32f816646e__SKOV-3__P2_CARBO+GEO_F8__tp0h__Snap-54.tiff,SKOV-3,0,P2|CARBO+GEO|F8,P2|CARBO+GEO|F8,F8,P2|CARBO+GEO|F8,no,38.466,OK,0,Snap-54.tiff,Snap-54_png.rf.HGYLhnxL2tQsTiXRBg9n.png
757d325f1f__SKOV-3__P2_CARBO+GEO_F8__tp24h__Snap-54.tiff,SKOV-3,24,P2|CARBO+GEO|F8,P2|CARBO+GEO|F8,F8,P2|CARBO+GEO|F8,no,15.633,OK,0,Snap-54.tiff,Snap-54_106_png.rf.VOFbghvZhHsPNSqUFFkZ.png
431a247e4d__SKOV-3__P2_CARBO+GEO_F8__tp48h__Snap-54.tiff,SKOV-3,48,P2|CARBO+GEO|F8,P2|CARBO+GEO|F8,F8,P2|CARBO+GEO|F8,no,5.872,OK,0,Snap-54.tiff,Snap-54_1_png.rf.LYlBIIJ3KoqRfd7QemOX.png
a1d9784c97__BASELINE__SKOV-3__P2_CARBO_F5__tp0h__Snap-20.tiff,SKOV-3,0,P2|CARBO|F5,P2|CARBO|F5,F5,P2|CARBO|F5,yes,42.686,OK,0,Snap-20.tiff,(baseline_recuperado)
e38b9ca083__SKOV-3__P2_CARBO_F5__tp24h__Snap-20.tiff,SKOV-3,24,P2|CARBO|F5,P2|CARBO|F5,F5,P2|CARBO|F5,no,9.768,OK,0,Snap-20.tiff,Snap-20_104_png.rf.lu9wLu7mqVxquLAseXNa.png
e068a53984__SKOV-3__P2_CARBO_F5__tp48h__Snap-21.tiff,SKOV-3,48,P2|CARBO|F5,P2|CARBO|F5,F5,P2|CARBO|F5,no,14.379,OK,0,Snap-21.tiff,Snap-21_56_png.rf.ycoY7vPUknblypXrORx3.png
6fb12c61f6__SKOV-3__P2_CARBO_F9__tp0h__Snap-25.tiff,SKOV-3,0,P2|CARBO|F9,P2|CARBO|F9,F9,P2|CARBO|F9,no,30.715,OK,0,Snap-25.tiff,Snap-25_png.rf.NZSC2ldRJFXa4414jttF.png
ec6c7bc6f7__SKOV-3__P2_CARBO_F9__tp24h__Snap-24.tiff,SKOV-3,24,P2|CARBO|F9,P2|CARBO|F9,F9,P2|CARBO|F9,no,25.01,OK,0,Snap-24.tiff,Snap-24_96_png.rf.s6DeTIAvmh6iZiaYgj4W.png
0270d51969__SKOV-3__P2_CARBO_F9__tp48h__Snap-25.tiff,SKOV-3,48,P2|CARBO|F9,P2|CARBO|F9,F9,P2|CARBO|F9,no,46.402,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,Snap-25.tiff,Snap-25_50_png.rf.CHeux2nrD5owQB0rBnrP.png
fa6dd30a89__BASELINE__SKOV-3__P2_CT_F15__tp0h__Snap-15.tiff,SKOV-3,0,P2|CT|F15,P2|CT|F15,F15,P2|CT|F15,yes,43.772,OK,0,Snap-15.tiff,(baseline_recuperado)
b42d83ed55__SKOV-3__P2_CT_F15__tp24h__Snap-15.tiff,SKOV-3,24,P2|CT|F15,P2|CT|F15,F15,P2|CT|F15,no,34.584,OK,0,Snap-15.tiff,Snap-15_60_png.rf.AUB9Da86Zc4f2GiWRpgF.png
fd9cb2c695__SKOV-3__P2_CT_F15__tp48h__Snap-15.tiff,SKOV-3,48,P2|CT|F15,P2|CT|F15,F15,P2|CT|F15,no,8.729,OK,0,Snap-15.tiff,Snap-15_15_png.rf.oEkUKHxOZ7qcBLxMlF5e.png
207e171eaf__SKOV-3__P2_CT_F9__tp0h__Snap-10.tiff,SKOV-3,0,P2|CT|F9,P2|CT|F9,F9,P2|CT|F9,no,42.731,OK,0,Snap-10.tiff,Snap-10_png.rf.yj7fOx6nAZtfK19C65wZ.png
ef8663825e__SKOV-3__P2_CT_F9__tp24h__Snap-09.tiff,SKOV-3,24,P2|CT|F9,P2|CT|F9,F9,P2|CT|F9,no,5.929,OK,0,Snap-09.tiff,Snap-09_66_png.rf.DXbLfCegxmVs4TDoenmh.png
bea62375f6__SKOV-3__P2_CT_F9__tp48h__Snap-09.tiff,SKOV-3,48,P2|CT|F9,P2|CT|F9,F9,P2|CT|F9,no,37.761,FALHA_NAO_MONOTONICO,1,Snap-09.tiff,Snap-09_21_png.rf.eX9WeCW8GgIO8pb44zNf.png
3e861f7b95__SKOV-3__P2_GEO_F11__tp0h__Snap-42.tiff,SKOV-3,0,P2|GEO|F11,P2|GEO|F11,F11,P2|GEO|F11,no,30.512,OK,0,Snap-42.tiff,Snap-42_png.rf.vXnbjKiFLjrY6iWZoR1j.png
8328b100ab__SKOV-3__P2_GEO_F11__tp24h__Snap-42.tiff,SKOV-3,24,P2|GEO|F11,P2|GEO|F11,F11,P2|GEO|F11,no,16.135,OK,0,Snap-42.tiff,Snap-42_76_png.rf.erwRb4d1blf6lhZ6UFWy.png
81a85f25ae__SKOV-3__P2_GEO_F8__tp0h__Snap-39.tiff,SKOV-3,0,P2|GEO|F8,P2|GEO|F8,F8,P2|GEO|F8,no,64.859,OK,0,Snap-39.tiff,Snap-39_png.rf.B5ZdhBp8JGAo6JQji9gU.png
2f0b118f20__SKOV-3__P2_GEO_F8__tp24h__Snap-39.tiff,SKOV-3,24,P2|GEO|F8,P2|GEO|F8,F8,P2|GEO|F8,no,21.399,OK,0,Snap-39.tiff,Snap-39_77_png.rf.FBpms3tKgC2fVOg0pxu7.png
8ed03d3c08__BASELINE_REC__HUVEC__LUIS_RAW_PET_C5__tp0h__C5_0H_2.tiff,HUVEC,0,LUIS RAW||PET||C5,LUIS RAW||PET||C5||c2,2,,yes,31.423,NAO_TRIADA,1,C5 0H 2.tiff,
a4fc0d486b__BASELINE_REC__HUVEC__LUIS_RAW_PET_F2__tp0h__F2_0H_2.tiff,HUVEC,0,LUIS RAW||PET||F2,LUIS RAW||PET||F2||c2,2,,yes,13.085,NAO_TRIADA,1,F2 0H 2.tiff,
f2751b8277__BASELINE_REC__HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp0h__A2_0H_1.tiff,HUVEC,0,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW||PEP||A2||c1,1,,yes,68.417,NAO_TRIADA,1,A2 0H 1.tiff,
fb2b4ab75e__BASELINE_REC__HUVEC__originais_None_A5__tp0h__A5_0HR_2.tiff,HUVEC,0,originais||None||A5,originais||None||A5||c2,2,,yes,37.851,NAO_TRIADA,1,A5 0HR 2.tiff,
54b338af67__BASELINE_REC__HUVEC__originais_None_B5__tp0h__B5_0HR_2.tiff,HUVEC,0,originais||None||B5,originais||None||B5||c2,2,,yes,75.153,NAO_TRIADA,1,B5 0HR 2.tiff,
