series_key,cell_line,analysis_unit,campo,timepoint_h,area_pct,closure_fraction,procedencia_area,analisavel
LUIS RAW||PET||F2||c2,HUVEC,LUIS RAW||PET||F2,2,12,25.522,-0.0567,automatica,nao
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,1,0,18.682,0.0,corrigida,sim
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,1,12,2.559,0.863,corrigida,sim
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,2,0,22.983,0.0,corrigida,sim
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,2,8,13.269,0.4227,corrigida,sim
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,2,12,6.337,0.7243,corrigida,sim
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,1,0,20.429,0.0,corrigida,sim
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,1,8,9.225,0.5484,corrigida,sim
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,1,12,5.043,0.7531,corrigida,sim
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,2,0,64.566,0.0,automatica,sim
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,2,8,60.516,0.0627,automatica,sim
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,2,12,64.035,0.0082,automatica,sim
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,1,0,32.39,0.0,corrigida,sim
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,1,8,13.46,0.5844,corrigida,sim
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,1,12,13.178,0.5931,corrigida,sim
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,1,24,8.89,0.7255,corrigida,sim
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,2,0,28.242,0.0,corrigida,sim
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,2,8,11.184,0.604,corrigida,sim
