whst_input_file,cell_line,analysis_unit,series_key,campo,timepoint_h,area_pct_final,area_pct_auto,fonte_area,categoria
e31a26b3ae__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_1_2.tiff,HUVEC,LUIS RAW||PEP+MCC||B4,LUIS RAW||PEP+MCC||B4||c1,1,24,7.084,42.35,corrigida,SEG_RUIM/super
1daac83e9d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_2_2.tiff,HUVEC,LUIS RAW||PEP+MCC||B4,LUIS RAW||PEP+MCC||B4||c2,2,24,0.0,8.738,corrigida_fechada,SEG_RUIM/super
9f614303f3__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_1.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c1,1,0,,16.895,invalida_triagem,IMG_INVALIDA
161686180c__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_2.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c2,2,0,22.991,0.128,corrigida,SEG_RUIM/sub
a66cba3317__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_1.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c1,1,8,16.337,16.337,automatica,OK
226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c2,2,8,20.233,23.08,corrigida,SEG_RUIM/super
628814a792__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_1.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c1,1,12,12.361,12.361,automatica,OK
2e65d49d55__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_2.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c2,2,12,15.2,15.159,corrigida,OK
52cbd70f1b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_1.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c1,1,24,7.255,6.263,corrigida,SEG_RUIM/sub
d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c2,2,24,8.389,4.926,corrigida,SEG_RUIM/sub
aceb4fb866__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_1.tiff,HUVEC,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c1,1,0,22.932,20.328,corrigida,OK
31cbdfcc41__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_2.tiff,HUVEC,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c2,2,0,21.572,21.572,automatica,OK
d1bcf749b2__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_1.tiff,HUVEC,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c1,1,8,10.63,10.818,corrigida,OK
609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.tiff,HUVEC,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c2,2,8,7.165,7.165,corrigida,SEG_RUIM/sub
def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.tiff,HUVEC,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c1,1,12,7.306,0.041,corrigida,OK
6aac6703c3__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_2.tiff,HUVEC,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c2,2,12,4.643,4.643,automatica,OK
9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1.tiff,HUVEC,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c1,1,24,0.0,0.966,corrigida_fechada,SEG_RUIM/super
ec74f8f5fa__HUVEC__LUIS_RAW_PET_C5__tp0h__C5_0H_1.tiff,HUVEC,LUIS RAW||PET||C5,LUIS RAW||PET||C5||c1,1,0,21.009,19.927,corrigida,OK
8ed03d3c08__BASELINE_REC__HUVEC__LUIS_RAW_PET_C5__tp0h__C5_0H_2.tiff,HUVEC,LUIS RAW||PET||C5,LUIS RAW||PET||C5||c2,2,0,,31.423,invalida,IMG_INVALIDA
05932b157b__HUVEC__LUIS_RAW_PET_C5__tp8h__C5_8H_1.tiff,HUVEC,LUIS RAW||PET||C5,LUIS RAW||PET||C5||c1,1,8,14.907,16.151,corrigida,OK
30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1.tiff,HUVEC,LUIS RAW||PET||C5,LUIS RAW||PET||C5||c1,1,12,13.709,35.08,corrigida,SEG_RUIM/super
c5c9c83ff5__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_2.tiff,HUVEC,LUIS RAW||PET||C5,LUIS RAW||PET||C5||c2,2,12,9.889,9.889,automatica,SEG_RUIM/super
125425d796__HUVEC__LUIS_RAW_PET_F2__tp0h__F2_0H_1.tiff,HUVEC,LUIS RAW||PET||F2,LUIS RAW||PET||F2||c1,1,0,24.153,24.153,automatica,OK
a4fc0d486b__BASELINE_REC__HUVEC__LUIS_RAW_PET_F2__tp0h__F2_0H_2.tiff,HUVEC,LUIS RAW||PET||F2,LUIS RAW||PET||F2||c2,2,0,,13.085,invalida,IMG_INVALIDA
ab1e438082__HUVEC__LUIS_RAW_PET_F2__tp8h__F2_8H_2.tiff,HUVEC,LUIS RAW||PET||F2,LUIS RAW||PET||F2||c2,2,8,14.038,14.038,automatica,SEG_RUIM/super
7e12b751cc__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_1.tiff,HUVEC,LUIS RAW||PET||F2,LUIS RAW||PET||F2||c1,1,12,23.64,23.64,automatica,OK
be0b2a74bf__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_2.tiff,HUVEC,LUIS RAW||PET||F2,LUIS RAW||PET||F2||c2,2,12,25.522,25.522,automatica,SEG_RUIM/super
eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,0,18.682,74.045,corrigida,SEG_RUIM/super
876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,0,22.983,95.116,corrigida,SEG_RUIM/super
4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,8,,36.771,invalida,IMG_INVALIDA
67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,13.269,30.468,corrigida,SEG_RUIM/super
df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,2.559,44.185,corrigida,SEG_RUIM/super
d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,6.337,60.523,corrigida,SEG_RUIM/super
d8240f29e1__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_1.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,24,,84.11,invalida_triagem,IMG_INVALIDA
9f5991f031__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,24,,96.736,invalida_triagem,IMG_INVALIDA
4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,0,20.429,47.974,corrigida,SEG_RUIM/super
cf9152592e__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_2_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,0,64.566,64.566,automatica,SEG_RUIM/super
c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,9.225,70.706,corrigida,SEG_RUIM/super
77136aab22__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_2_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,60.516,60.516,automatica,SEG_RUIM/super
2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,5.043,43.039,corrigida,SEG_RUIM/super
b248b322dd__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_2_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,64.035,64.035,automatica,SEG_RUIM/super
6af51551c0__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_1_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,24,,82.762,invalida_triagem,IMG_INVALIDA
17691aa585__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_2_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,24,,75.585,invalida_triagem,IMG_INVALIDA
2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,0,32.39,32.39,corrigida,OK
fcc8ab6862__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,0,28.242,24.715,corrigida,OK
7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,13.46,63.688,corrigida,SEG_RUIM/super
0b9742f9a3__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,11.184,11.184,corrigida,OK
b050d01a16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,13.178,53.277,corrigida,SEG_RUIM/super
f16a067d42__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,12,,10.296,invalida,IMG_INVALIDA
7b82c62a3a__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,8.89,33.445,corrigida,SEG_RUIM/super
11aad82875__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_2_3.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,3.497,28.753,corrigida,SEG_RUIM/super
f2751b8277__BASELINE_REC__HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp0h__A2_0H_1.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW||PEP||A2||c1,1,0,,68.417,invalida,IMG_INVALIDA
dd8ad98535__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp0h__A2_0H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,0,38.253,38.253,corrigida,OK
ff629ecc3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW||PEP||A2||c1,1,8,,50.08,invalida_triagem,IMG_INVALIDA
ee865b4881__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_2_3.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,15.523,51.344,corrigida,SEG_RUIM/super
bec6037b38__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW||PEP||A2||c1,1,12,53.112,53.112,automatica,SEG_RUIM/super
267a4a1f3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,14.74,61.873,corrigida,SEG_RUIM/super
294bd4aad2__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_1_3.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW||PEP||A2||c1,1,24,70.255,70.255,automatica,SEG_RUIM/super
8c3064543d__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_2_3.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,11.548,67.931,corrigida,SEG_RUIM/super
9c4fdbdc3c__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,0,21.909,21.909,corrigida,OK
074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,0,24.44,85.534,corrigida,SEG_RUIM/super
a41e7eccaa__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,20.112,34.637,corrigida,SEG_RUIM/super
8db9535923__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,21.778,33.761,corrigida,SEG_RUIM/super
6b8d096cd6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,19.337,44.05,corrigida,SEG_RUIM/super
3dea5f7bdf__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,21.005,46.72,corrigida,SEG_RUIM/super
