whst_input_file,area_px_corrigida,area_pct_corrigida,area_pct_auto,status
ee865b4881__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_2_3.tiff,782560,15.523,51.344,ok
267a4a1f3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_2_2.tiff,743106,14.740,61.873,ok
8c3064543d__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_2_3.tiff,582180,11.548,67.931,ok
074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,1232084,24.440,85.534,ok
a41e7eccaa__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_1_2.tiff,1013931,20.112,34.637,ok
8db9535923__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_2_2.tiff,1097913,21.778,33.761,ok
6b8d096cd6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_1_2.tiff,974838,19.337,44.050,ok
3dea5f7bdf__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_2_2.tiff,1058925,21.005,46.720,ok
b74ccec3d4__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_1_2.tiff,685530,13.598,42.255,ok
313ff6b3d6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_2_2.tiff,673122,13.352,51.686,ok
590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,808156,16.031,39.833,ok
54c61f325d__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_1_3.tiff,621147,12.321,46.625,ok
ad9f9e8e56__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_1_3.tiff,569049,11.288,69.250,ok
61972712e8__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_2_3.tiff,707333,14.031,92.334,ok
2416a46324__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_1_3.tiff,NA,NA,0.254,invalida
4e5949b4ff__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_2_3.tiff,379308,7.524,9.127,ok
72ec8e45a1__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_1_3.tiff,993785,19.713,40.238,ok
62cb1d4bdc__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_1_3.tiff,1020195,20.237,42.402,ok
db5f1d05ce__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_1_3.tiff,891432,17.683,72.640,ok
219024d892__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp24h__D4_24H_1_3.tiff,559420,11.097,73.602,ok
acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.tiff,774786,15.369,38.190,ok
ba096361b8__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_1_2.tiff,381702,7.571,20.817,ok
f9a5587463__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_2_2.tiff,436480,8.658,23.489,ok
e8f27e802d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_1_2.tiff,216681,4.298,48.008,ok
3bd025364d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_2_2.tiff,249715,4.953,35.689,ok
7f4a54ced3__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_1_2.tiff,0,0.000,64.502,fechada
0c9eecd4e4__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_2_2.tiff,0,0.000,35.943,fechada
402aa9005a__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_1_2.tiff,271098,5.378,35.470,ok
b55011ddef__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_2_2.tiff,318153,6.311,22.277,ok
1e53de2f60__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_1_2.tiff,119337,2.367,41.130,ok
8380cf36f6__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_2_2.tiff,134176,2.662,18.376,ok
915659805f__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_1_2.tiff,0,0.000,61.022,fechada
1b7a6d4b5b__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_2_2.tiff,0,0.000,50.977,fechada
b907ae85dd__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_1_2.tiff,418276,8.297,15.090,ok
a3e15c9ecc__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_1_2.tiff,302199,5.994,10.233,ok
0bdbd51083__HUVEC__Originais_1_None_D1__tp24h__D1_24HR_1_2.tiff,0,0.000,11.519,fechada
15dfa1f8f7__HUVEC__Pr_-Ecl_mpsia_None_B6__tp12h__B6_12hr_1.tiff,317247,6.293,19.549,ok
fbe637bf41__HUVEC__Pr_-Ecl_mpsia_None_B6__tp24h__B6_24h_1.tiff,0,0.000,0.274,fechada
ba850ac4ac__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,804118,15.951,25.072,ok
3bad7fe6bb__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_1.tiff,131154,2.602,2.421,ok
b4e873c613__HUVEC__originais_None_A1__tp0h__A1_0HR_1.tiff,597714,11.856,12.494,ok
8bf826e872__HUVEC__originais_None_A1__tp0h__A1_0HR_2.tiff,865327,17.165,30.903,ok
