unidade,tag,tp,campo,arquivo,otsu_eta,lap_var,vignette,area_pct
Migração (PET e PEP) n3 - RAW||None||D4,SUSPEITA,0,2,6e6e66cf02__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_2_3.tiff,0.65971,63.58,0.8076,89.432
Migração (PET e PEP) n3 - RAW||None||D4,SUSPEITA,8,2,c07bc84c98__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_2_3.tiff,0.71822,43.83,0.6304,87.037
Migração (PET e PEP) n3 - RAW||None||D4,SUSPEITA,12,2,de4591208a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_2_3.tiff,0.63246,29.29,0.5406,89.506
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,CTRL mesmo lote,0,1,2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,0.71646,40.89,0.9461,32.39
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,CTRL mesmo lote,8,1,7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2.tiff,0.5679,46.41,0.7005,63.688
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,CTRL mesmo lote,12,1,b050d01a16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_1_2.tiff,0.61868,61.41,0.7204,53.277
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,CTRL mesmo lote,24,1,7b82c62a3a__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_1_2.tiff,0.64635,43.43,0.764,33.445
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,CTRL mesmo lote,0,2,fcc8ab6862__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_2_2.tiff,0.82296,114.55,1.1806,24.715
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,CTRL mesmo lote,8,2,0b9742f9a3__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_2_2.tiff,0.62117,65.15,0.7241,11.184
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,CTRL mesmo lote,12,2,f16a067d42__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_2_2.tiff,0.75245,105.21,0.8259,10.296
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,CTRL mesmo lote,24,2,11aad82875__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_2_3.tiff,0.65195,71.47,0.7897,28.753
originais||None||D1,CTRL saudavel,0,1,857d6a0b73__HUVEC__originais_None_D1__tp0h__D1_0HR_1.tiff,0.72885,178.82,0.8506,16.757
originais||None||D1,CTRL saudavel,8,1,b98f1d3be8__HUVEC__originais_None_D1__tp8h__D1_8HR_1.tiff,0.83694,133.55,0.7582,10.469
originais||None||D1,CTRL saudavel,12,1,c01f3f16cb__HUVEC__originais_None_D1__tp12h__D1_12HR_1.tiff,0.83597,113.7,0.8091,8.311
originais||None||D1,CTRL saudavel,24,1,8ea9f57fed__HUVEC__originais_None_D1__tp24h__D1_24HR_1.tiff,0.80752,156.18,0.7924,4.703
originais||None||D1,CTRL saudavel,0,2,7588e611d5__HUVEC__originais_None_D1__tp0h__D1_0HR_2.tiff,0.70242,138.35,0.8222,21.048
originais||None||D1,CTRL saudavel,8,2,365467be4f__HUVEC__originais_None_D1__tp8h__D1_8HR_2.tiff,0.83957,121.84,0.8256,11.646
originais||None||D1,CTRL saudavel,12,2,ff163eb7bd__HUVEC__originais_None_D1__tp12h__D1_12HR_2.tiff,0.81297,145.71,0.8232,9.047
originais||None||D1,CTRL saudavel,24,2,07f7f3ae69__HUVEC__originais_None_D1__tp24h__D1_24HR_2.tiff,0.79937,173.62,0.8372,4.36
