grupo,analysis_unit,tp,arquivo,param,radius,threshold,sat,area_pct,area_pct_imagej_P0,categoria_v2
FALHA r=66.17,LUIS RAW||PEP+GB||A3,8,a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.tiff,P2,20,60,0.001,0.011,5.029,FALHA_CLOSURE_NEG
FALHA r=66.17,LUIS RAW||PEP+GB||A3,8,a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.tiff,P3,20,100,0.01,4.252,5.029,FALHA_CLOSURE_NEG
FALHA r=53.59,LUIS RAW||PEP+GB||A3,12,cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,P0,20,100,0.001,4.069,4.073,FALHA_CLOSURE_NEG
FALHA r=53.59,LUIS RAW||PEP+GB||A3,12,cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,P1,10,100,0.001,8.981,4.073,FALHA_CLOSURE_NEG
FALHA r=53.59,LUIS RAW||PEP+GB||A3,12,cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,P2,20,60,0.001,0.05,4.073,FALHA_CLOSURE_NEG
FALHA r=53.59,LUIS RAW||PEP+GB||A3,12,cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,P3,20,100,0.01,3.57,4.073,FALHA_CLOSURE_NEG
OK,Controle||None||A1,12,121a1c1fcd__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_1.tiff,P0,20,100,0.001,15.065,15.087,OK
OK,Controle||None||A1,12,121a1c1fcd__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_1.tiff,P1,10,100,0.001,52.281,15.087,OK
OK,Controle||None||A1,12,121a1c1fcd__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_1.tiff,P2,20,60,0.001,14.268,15.087,OK
OK,Controle||None||A1,12,121a1c1fcd__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_1.tiff,P3,20,100,0.01,14.747,15.087,OK
OK,LUIS RAW||PEP+GB||A3,12,f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,P0,20,100,0.001,3.681,3.685,OK
OK,LUIS RAW||PEP+GB||A3,12,f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,P1,10,100,0.001,8.328,3.685,OK
OK,LUIS RAW||PEP+GB||A3,12,f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,P2,20,60,0.001,0.019,3.685,OK
OK,LUIS RAW||PEP+GB||A3,12,f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,P3,20,100,0.01,3.43,3.685,OK
