ordem,whst_input_file,cell_line,analysis_unit,timepoint_h,campo,eh_baseline,categoria_visual,tarefa,serie_decisao,area_pct_auto,roi_auto
20,d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,24,2,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,4.926,d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.roi
21,609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.tiff,HUVEC,LUIS RAW||PEP||E1,8,2,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,7.165,609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.roi
22,def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.tiff,HUVEC,LUIS RAW||PEP||E1,12,1,,IMG_INVALIDA,"DECIDIR VALIDADE: se der p/ tracar o contorno e valida; se nao, Select None (registra 'pulada')",CORRIGIR_misto,0.041,def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.roi
23,9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1.tiff,HUVEC,LUIS RAW||PEP||E1,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,0.966,9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1.roi
24,30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1.tiff,HUVEC,LUIS RAW||PET||C5,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,35.08,30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1.roi
25,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,1,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,74.045,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.roi
26,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,2,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,95.116,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.roi
27,4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,36.771,4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.roi
28,67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,8,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,30.468,67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.roi
29,df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,44.185,df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.roi
30,d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,12,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,60.523,d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.roi
31,4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,0,1,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,47.974,4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2.roi
32,c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,70.706,c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.roi
33,2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,43.039,2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.roi
34,7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,63.688,7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2.roi
35,b050d01a16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,53.277,b050d01a16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_1_2.roi
36,f16a067d42__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,12,2,,IMG_INVALIDA,"DECIDIR VALIDADE: se der p/ tracar o contorno e valida; se nao, Select None (registra 'pulada')",CORRIGIR_misto,10.296,f16a067d42__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_2_2.roi
37,7b82c62a3a__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,33.445,7b82c62a3a__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_1_2.roi
38,11aad82875__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_2_3.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,24,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,28.753,11aad82875__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_2_3.roi
39,ee865b4881__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_2_3.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,8,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,51.344,ee865b4881__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_2_3.roi
40,267a4a1f3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,12,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,61.873,267a4a1f3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_2_2.roi
41,8c3064543d__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_2_3.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,24,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,67.931,8c3064543d__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_2_3.roi
42,074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,0,2,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,85.534,074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.roi
43,a41e7eccaa__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,34.637,a41e7eccaa__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_1_2.roi
44,8db9535923__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,8,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,33.761,8db9535923__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_2_2.roi
45,6b8d096cd6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,44.05,6b8d096cd6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_1_2.roi
46,3dea5f7bdf__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,12,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,46.72,3dea5f7bdf__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_2_2.roi
47,b74ccec3d4__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,42.255,b74ccec3d4__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_1_2.roi
48,313ff6b3d6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,24,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,51.686,313ff6b3d6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_2_2.roi
49,590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,0,1,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,39.833,590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.roi
50,54c61f325d__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,46.625,54c61f325d__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_1_3.roi
51,ad9f9e8e56__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,69.25,ad9f9e8e56__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_1_3.roi
52,61972712e8__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_2_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,12,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,92.334,61972712e8__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_2_3.roi
53,2416a46324__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,24,1,,IMG_INVALIDA,"DECIDIR VALIDADE: se der p/ tracar o contorno e valida; se nao, Select None (registra 'pulada')",CORRIGIR_consistente_implausivel,0.254,2416a46324__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_1_3.roi
54,4e5949b4ff__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_2_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,24,2,,IMG_INVALIDA,"DECIDIR VALIDADE: se der p/ tracar o contorno e valida; se nao, Select None (registra 'pulada')",CORRIGIR_misto,9.127,4e5949b4ff__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_2_3.roi
55,72ec8e45a1__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,0,1,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,40.238,72ec8e45a1__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_1_3.roi
56,62cb1d4bdc__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,42.402,62cb1d4bdc__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_1_3.roi
57,db5f1d05ce__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,72.64,db5f1d05ce__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_1_3.roi
58,219024d892__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp24h__D4_24H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,73.602,219024d892__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp24h__D4_24H_1_3.roi
59,acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.tiff,HUVEC,Originais (1)||None||A1,0,1,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,38.19,acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.roi
60,ba096361b8__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_1_2.tiff,HUVEC,Originais (1)||None||A1,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,20.817,ba096361b8__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_1_2.roi
61,f9a5587463__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_2_2.tiff,HUVEC,Originais (1)||None||A1,8,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,23.489,f9a5587463__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_2_2.roi
62,e8f27e802d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_1_2.tiff,HUVEC,Originais (1)||None||A1,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,48.008,e8f27e802d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_1_2.roi
63,3bd025364d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_2_2.tiff,HUVEC,Originais (1)||None||A1,12,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,35.689,3bd025364d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_2_2.roi
64,7f4a54ced3__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_1_2.tiff,HUVEC,Originais (1)||None||A1,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,64.502,7f4a54ced3__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_1_2.roi
65,0c9eecd4e4__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_2_2.tiff,HUVEC,Originais (1)||None||A1,24,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,35.943,0c9eecd4e4__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_2_2.roi
66,402aa9005a__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_1_2.tiff,HUVEC,Originais (1)||None||A5,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,35.47,402aa9005a__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_1_2.roi
67,b55011ddef__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_2_2.tiff,HUVEC,Originais (1)||None||A5,8,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,22.277,b55011ddef__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_2_2.roi
68,1e53de2f60__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_1_2.tiff,HUVEC,Originais (1)||None||A5,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,41.13,1e53de2f60__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_1_2.roi
69,8380cf36f6__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_2_2.tiff,HUVEC,Originais (1)||None||A5,12,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,18.376,8380cf36f6__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_2_2.roi
70,915659805f__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_1_2.tiff,HUVEC,Originais (1)||None||A5,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,61.022,915659805f__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_1_2.roi
71,1b7a6d4b5b__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_2_2.tiff,HUVEC,Originais (1)||None||A5,24,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,50.977,1b7a6d4b5b__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_2_2.roi
72,b907ae85dd__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_1_2.tiff,HUVEC,Originais (1)||None||B5,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,15.09,b907ae85dd__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_1_2.roi
73,a3e15c9ecc__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_1_2.tiff,HUVEC,Originais (1)||None||B5,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,10.233,a3e15c9ecc__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_1_2.roi
