ordem,whst_input_file,cell_line,analysis_unit,timepoint_h,campo,eh_baseline,categoria_visual,tarefa,serie_decisao,area_pct_auto,roi_auto
74,0bdbd51083__HUVEC__Originais_1_None_D1__tp24h__D1_24HR_1_2.tiff,HUVEC,Originais (1)||None||D1,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,11.519,0bdbd51083__HUVEC__Originais_1_None_D1__tp24h__D1_24HR_1_2.roi
75,15dfa1f8f7__HUVEC__Pr_-Ecl_mpsia_None_B6__tp12h__B6_12hr_1.tiff,HUVEC,Pré-Eclâmpsia||None||B6,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,19.549,15dfa1f8f7__HUVEC__Pr_-Ecl_mpsia_None_B6__tp12h__B6_12hr_1.roi
76,fbe637bf41__HUVEC__Pr_-Ecl_mpsia_None_B6__tp24h__B6_24h_1.tiff,HUVEC,Pré-Eclâmpsia||None||B6,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,0.274,fbe637bf41__HUVEC__Pr_-Ecl_mpsia_None_B6__tp24h__B6_24h_1.roi
77,ba850ac4ac__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,HUVEC,Saudável||None||B1,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,25.072,ba850ac4ac__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.roi
78,3bad7fe6bb__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_1.tiff,HUVEC,Saudável||None||B1,24,1,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,2.421,3bad7fe6bb__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_1.roi
79,b4e873c613__HUVEC__originais_None_A1__tp0h__A1_0HR_1.tiff,HUVEC,originais||None||A1,0,1,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,12.494,b4e873c613__HUVEC__originais_None_A1__tp0h__A1_0HR_1.roi
80,8bf826e872__HUVEC__originais_None_A1__tp0h__A1_0HR_2.tiff,HUVEC,originais||None||A1,0,2,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,30.903,8bf826e872__HUVEC__originais_None_A1__tp0h__A1_0HR_2.roi
81,19b5407474__HUVEC__originais_None_A1__tp8h__A1_8HR_1.tiff,HUVEC,originais||None||A1,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,36.085,19b5407474__HUVEC__originais_None_A1__tp8h__A1_8HR_1.roi
82,10c73cd55a__HUVEC__originais_None_A1__tp8h__A1_8HR_2.tiff,HUVEC,originais||None||A1,8,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,43.687,10c73cd55a__HUVEC__originais_None_A1__tp8h__A1_8HR_2.roi
83,7d8b79a5ad__HUVEC__originais_None_A1__tp24h__A1_24HR_2.tiff,HUVEC,originais||None||A1,24,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,14.11,7d8b79a5ad__HUVEC__originais_None_A1__tp24h__A1_24HR_2.roi
84,e4bb99f05d__BASELINE__HUVEC__originais_None_A5__tp0h__A5_0HR_1.tiff,HUVEC,originais||None||A5,0,1,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,26.026,e4bb99f05d__BASELINE__HUVEC__originais_None_A5__tp0h__A5_0HR_1.roi
85,a99d3e28ae__HUVEC__originais_None_A5__tp8h__A5_8HR_1.tiff,HUVEC,originais||None||A5,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,67.754,a99d3e28ae__HUVEC__originais_None_A5__tp8h__A5_8HR_1.roi
86,b83dc2f0a0__HUVEC__originais_None_A5__tp12h__A5_12HR_1.tiff,HUVEC,originais||None||A5,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,22.582,b83dc2f0a0__HUVEC__originais_None_A5__tp12h__A5_12HR_1.roi
87,a7bed1b95d__HUVEC__originais_None_A5__tp24h__A5_24HR_1.tiff,HUVEC,originais||None||A5,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,46.376,a7bed1b95d__HUVEC__originais_None_A5__tp24h__A5_24HR_1.roi
88,8ea9f57fed__HUVEC__originais_None_D1__tp24h__D1_24HR_1.tiff,HUVEC,originais||None||D1,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,4.703,8ea9f57fed__HUVEC__originais_None_D1__tp24h__D1_24HR_1.roi
89,0a2a2af49b__HUVEC__originais_None_D4__tp8h__D4_8HR_2.tiff,HUVEC,originais||None||D4,8,2,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,4.732,0a2a2af49b__HUVEC__originais_None_D4__tp8h__D4_8HR_2.roi
90,3bb0ffa3c2__HUVEC__originais_None_D4__tp24h__D4_24HR_2.tiff,HUVEC,originais||None||D4,24,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,0.449,3bb0ffa3c2__HUVEC__originais_None_D4__tp24h__D4_24HR_2.roi
91,b683f7cf68__SKOV-3__P1_CT_F10__tp48h__Snap-10_2.tiff,SKOV-3,P1|CT|F10,48,F10,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,27.95,b683f7cf68__SKOV-3__P1_CT_F10__tp48h__Snap-10_2.roi
92,1d20187a19__SKOV-3__P1_CT_F8__tp24h__Snap-09_2.tiff,SKOV-3,P1|CT|F8,24,F8,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,39.505,1d20187a19__SKOV-3__P1_CT_F8__tp24h__Snap-09_2.roi
93,95925abdae__SKOV-3__P1_CT_F8__tp48h__Snap-08_2.tiff,SKOV-3,P1|CT|F8,48,F8,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,75.984,95925abdae__SKOV-3__P1_CT_F8__tp48h__Snap-08_2.roi
94,431a247e4d__SKOV-3__P2_CARBO+GEO_F8__tp48h__Snap-54.tiff,SKOV-3,P2|CARBO+GEO|F8,48,F8,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,5.872,431a247e4d__SKOV-3__P2_CARBO+GEO_F8__tp48h__Snap-54.roi
95,e38b9ca083__SKOV-3__P2_CARBO_F5__tp24h__Snap-20.tiff,SKOV-3,P2|CARBO|F5,24,F5,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,9.768,e38b9ca083__SKOV-3__P2_CARBO_F5__tp24h__Snap-20.roi
96,e068a53984__SKOV-3__P2_CARBO_F5__tp48h__Snap-21.tiff,SKOV-3,P2|CARBO|F5,48,F5,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,14.379,e068a53984__SKOV-3__P2_CARBO_F5__tp48h__Snap-21.roi
97,6fb12c61f6__SKOV-3__P2_CARBO_F9__tp0h__Snap-25.tiff,SKOV-3,P2|CARBO|F9,0,F9,SIM,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,30.715,6fb12c61f6__SKOV-3__P2_CARBO_F9__tp0h__Snap-25.roi
98,0270d51969__SKOV-3__P2_CARBO_F9__tp48h__Snap-25.tiff,SKOV-3,P2|CARBO|F9,48,F9,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,46.402,0270d51969__SKOV-3__P2_CARBO_F9__tp48h__Snap-25.roi
99,b42d83ed55__SKOV-3__P2_CT_F15__tp24h__Snap-15.tiff,SKOV-3,P2|CT|F15,24,F15,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,34.584,b42d83ed55__SKOV-3__P2_CT_F15__tp24h__Snap-15.roi
100,fd9cb2c695__SKOV-3__P2_CT_F15__tp48h__Snap-15.tiff,SKOV-3,P2|CT|F15,48,F15,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,8.729,fd9cb2c695__SKOV-3__P2_CT_F15__tp48h__Snap-15.roi
101,bea62375f6__SKOV-3__P2_CT_F9__tp48h__Snap-09.tiff,SKOV-3,P2|CT|F9,48,F9,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,37.761,bea62375f6__SKOV-3__P2_CT_F9__tp48h__Snap-09.roi
