test_image,group_key,cell_line,timepoint_h,whst_input_file,ann_area_px,ann_pct,whst,ratio,flag
A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png,LUIS RAW||PEP+MET3||A6,HUVEC,24,d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.tiff,400252.9,7.939,248310.0,1.612,OK
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,LUIS RAW||PEP+GB||A3,HUVEC,12,cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,366680.7,7.274,205317.0,1.786,OK
Snap-41_270_png.rf.46zb8PtP1Yuu9Wit1FpP.png,P1|GEO+PTX|F6,SKOV-3,72,2166dad4b4__SKOV-3__P1_GEO+PTX_F6__tp72h__Snap-41.tiff,831843.0,16.501,451254.0,1.843,OK
Snap-54_1_png.rf.LYlBIIJ3KoqRfd7QemOX.png,P2|CARBO+GEO|F8,SKOV-3,48,431a247e4d__SKOV-3__P2_CARBO+GEO_F8__tp48h__Snap-54.tiff,560170.4,11.112,296039.0,1.892,OK
B4 0H 2_png.rf.rXION3PvUG9p2y5KH5ZG.png,LUIS RAW||PEP+MCC||B4,HUVEC,0,30d94f864c__HUVEC__LUIS_RAW_PEP+MCC_B4__tp0h__B4_0H_2.tiff,1095305.5,21.727,569400.0,1.924,OK
A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,LUIS RAW||PEP+GB||A3,HUVEC,0,e3071d5205__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_2.tiff,1083429.1,21.491,389260.0,2.783,DISCREPANTE
Snap-31_281_png.rf.HrwVzS03qTHBX5RB7awf.png,P1|GEO|F11,SKOV-3,72,6dfed6db6e__SKOV-3__P1_GEO_F11__tp72h__Snap-31.tiff,227783.5,4.518,73370.0,3.105,DISCREPANTE
Snap-26_283_png.rf.YFDkIZNg1W2rRyv6xoZQ.png,P1|GEO|F6,SKOV-3,72,4406107ac9__SKOV-3__P1_GEO_F6__tp72h__Snap-26.tiff,204819.0,4.063,43722.0,4.685,DISCREPANTE
Snap-52_153_png.rf.jWozliFwqBh7FtxPjDhr.png,P1|GEO+PTX|F6,SKOV-3,48,58a4cc19a9__SKOV-3__P1_GEO+PTX_F6__tp48h__Snap-52_2.tiff,827212.0,16.409,77780.0,10.635,DISCREPANTE
D1 24H 1_png.rf.9St1pSdNBqUmYewNNUks.png,Migração (PET e PEP) n3 - RAW||None||D1,HUVEC,24,2416a46324__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_1_3.tiff,317432.0,6.297,12829.0,24.743,DISCREPANTE
A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png,LUIS RAW||PEP+MET3||A6,HUVEC,0,161686180c__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_2.tiff,1242180.7,24.64,6447.0,192.676,DISCREPANTE
E1 12H 1_png.rf.MXhOPdUnNbYD4WTRbftP.png,LUIS RAW||PEP||E1,HUVEC,12,def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.tiff,444885.6,8.825,2066.0,215.337,DISCREPANTE
A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png,LUIS RAW||PEP+GB||A3,HUVEC,0,9487facce2__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_1.tiff,947506.7,18.795,3851.0,246.042,DISCREPANTE
