test_image,group_key,cell_line,timepoint_h,whst_input_file,ann_area_px,ann_pct,whst,ratio,flag
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,LUIS RAW||PEP+GB||A3,HUVEC,8,e6ddc74913__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_2_2.tiff,529910.6,10.511,602885.0,0.879,OK
D1 24H 2_png.rf.JPXsJfPNRWwnAkf2OC68.png,Migração (PET e PEP) n3 - RAW||None||D1,HUVEC,24,4e5949b4ff__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_2_3.tiff,406471.8,8.063,460099.0,0.883,OK
B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,Controle+Saudavel||None||B1,HUVEC,0,821e5c649b__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,813847.5,16.144,911392.0,0.893,OK
A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png,LUIS RAW||PEP+MET3||A6,HUVEC,8,226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,1042719.3,20.683,1163560.0,0.896,OK
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,Controle+Saudavel||None||A1,HUVEC,12,4912771227__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_2.tiff,449860.5,8.923,500982.0,0.898,OK
B5 0HR 2_png.rf.MUU0CWJgRWrZIA9N0J2X.png,Originais (1)||None||B5,HUVEC,0,a27829f2e8__HUVEC__Originais_1_None_B5__tp0h__B5_0HR_2_2.tiff,1011834.0,20.071,1125280.0,0.899,OK
Snap-18_182_png.rf.0olrnxTCWxDIVmtPK3HA.png,P1|PTX|F2,SKOV-3,24,4e02b25d63__SKOV-3__P1_PTX_F2__tp24h__Snap-18_2.tiff,701871.0,13.922,773952.0,0.907,OK
D1 24HR 2_png.rf.uoxKxnADebGlXimnPrEx.png,originais||None||D1,HUVEC,24,07f7f3ae69__HUVEC__originais_None_D1__tp24h__D1_24HR_2.tiff,199492.0,3.957,219785.0,0.908,OK
Snap-09_66_png.rf.DXbLfCegxmVs4TDoenmh.png,P2|CT|F9,SKOV-3,24,ef8663825e__SKOV-3__P2_CT_F9__tp24h__Snap-09.tiff,272496.0,5.405,298916.0,0.912,OK
D1 8HR 1_png.rf.7pXlMXWWJkv2xLuAp89c.png,originais||None||D1,HUVEC,8,b98f1d3be8__HUVEC__originais_None_D1__tp8h__D1_8HR_1.tiff,493482.5,9.789,527759.0,0.935,OK
Snap-10_png.rf.yj7fOx6nAZtfK19C65wZ.png,P2|CT|F9,SKOV-3,0,207e171eaf__SKOV-3__P2_CT_F9__tp0h__Snap-10.tiff,2020796.0,40.085,2154191.0,0.938,OK
A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,originais||None||A1,HUVEC,0,b4e873c613__HUVEC__originais_None_A1__tp0h__A1_0HR_1.tiff,595236.0,11.807,629861.0,0.945,OK
Snap-42_76_png.rf.erwRb4d1blf6lhZ6UFWy.png,P2|GEO|F11,SKOV-3,24,8328b100ab__SKOV-3__P2_GEO_F11__tp24h__Snap-42.tiff,770507.0,15.284,813431.0,0.947,OK
D1 12HR 1_png.rf.Sa5pwYNBsukEYVE7qdCO.png,originais||None||D1,HUVEC,12,c01f3f16cb__HUVEC__originais_None_D1__tp12h__D1_12HR_1.tiff,399364.1,7.922,418959.0,0.953,OK
Snap-25_184_png.rf.fnCmHOHxb5uRZMEeY7RB.png,P1|PTX|F9,SKOV-3,24,76e82b7d28__SKOV-3__P1_PTX_F9__tp24h__Snap-25_2.tiff,1644655.5,32.624,1717197.0,0.958,OK
E1 8H 1_png.rf.8l6bvVJjLSjiFIlOhJkG.png,LUIS RAW||PEP||E1,HUVEC,8,d1bcf749b2__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_1.tiff,524961.7,10.413,545375.0,0.963,OK
A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,Originais (1)||None||A1,HUVEC,0,157a366d29__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_2_2.tiff,871672.5,17.291,905523.0,0.963,OK
D1 0HR 2_png.rf.pBkydjxMgVt0vB999uLo.png,originais||None||D1,HUVEC,0,7588e611d5__HUVEC__originais_None_D1__tp0h__D1_0HR_2.tiff,1022038.9,20.273,1061120.0,0.963,OK
Snap-54_png.rf.HGYLhnxL2tQsTiXRBg9n.png,P2|CARBO+GEO|F8,SKOV-3,0,32f816646e__SKOV-3__P2_CARBO+GEO_F8__tp0h__Snap-54.tiff,1895332.5,37.596,1939201.0,0.977,OK
D1 8HR 2_png.rf.zXqaP0fHqHbabD0CzjuF.png,originais||None||D1,HUVEC,8,365467be4f__HUVEC__originais_None_D1__tp8h__D1_8HR_2.tiff,578552.0,11.476,587118.0,0.985,OK
